gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	1.83842360593381e-16	3.5303248504747e-12	.
RB1	ENST00000267163	.	.	5.89196354658455e-12	5.65716879925316e-08	.
CTNNB1	ENST00000349496	.	.	7.17416169123613e-11	4.59218089856025e-07	.
GNAS	ENST00000371100	.	.	5.63993396425976e-08	0.0002707591297892	.
FLT4	ENST00000261937	.	.	1.75112961232124e-07	0.000672538838908095	.
SMARCAL1	ENST00000357276	.	.	9.88796840265323e-07	0.002372115935578	.
PIK3CA	ENST00000263967	.	.	1.1071598783527e-06	0.002372115935578	.
MEN1	ENST00000337652	.	.	1.21994049836698e-06	0.002372115935578	.
MDM2	ENST00000462284	.	.	1.23459682750103e-06	0.002372115935578	.
RASGRF1	ENST00000419573	.	.	1.23528403664948e-06	0.002372115935578	.
EGFR	ENST00000275493	.	.	1.44349447168913e-06	0.00251994766725876	.
PRKAR1A	ENST00000589228	.	.	1.84174292904942e-06	0.00294724912221133	.
NRAS	ENST00000369535	.	.	3.47007490976667e-06	0.00484543177845567	.
COL1A2	ENST00000297268	.	.	3.53257537355514e-06	0.00484543177845567	.
ATM	ENST00000278616	.	.	3.86084601604098e-06	0.00494265506973566	.
SHC1	ENST00000448116	.	.	4.87823736564849e-06	0.0054529145148169	.
PAK7	ENST00000378429	.	.	4.90694938485101e-06	0.0054529145148169	.
CDKN2A	ENST00000498124	.	.	5.11130871565402e-06	0.0054529145148169	.
BRAF	ENST00000288602	.	.	6.00904154413335e-06	0.00607324340905225	.
PLCB1	ENST00000338037	.	.	6.3921437723851e-06	0.00613741684305555	.
LIG4	ENST00000356922	.	.	8.21350163111829e-06	0.00751066056296974	.
FADD	ENST00000301838	.	.	9.1716882741266e-06	0.00800563317854787	.
MMP9	ENST00000372330	.	.	1.05770006108705e-05	0.00883087577089331	.
NSD1	ENST00000439151	.	.	1.12049541278499e-05	0.00896526918516198	.
CREBBP	ENST00000262367	.	.	1.16717038811149e-05	0.00896526918516198	.
