gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	1.67829423423907e-15	3.34047684382945e-11	.
PTEN	ENST00000371953	.	.	3.28290396731552e-14	3.26714602827241e-10	.
RB1	ENST00000267163	.	.	4.5211465998835e-13	2.99963006413604e-09	.
CDH1	ENST00000261769	.	.	3.30136865466955e-12	1.64276104256357e-08	.
PIK3CA	ENST00000263967	.	.	8.05900973530459e-12	3.20813059543005e-08	.
MAP3K1	ENST00000399503	.	.	1.44676691196272e-11	4.79940810261766e-08	.
GATA3	ENST00000379328	.	.	3.50911416738897e-11	9.97791548395858e-08	.
BRCA1	ENST00000471181	.	.	3.85991028113847e-10	9.60345677947251e-07	.
NCOR1	ENST00000268712	.	.	1.16220647812813e-09	2.57028419340692e-06	.
AKT1	ENST00000554581	.	.	4.51017992676982e-09	8.97706212624265e-06	.
RUNX1	ENST00000300305	.	.	9.51854204161853e-09	1.72233691633068e-05	.
E2F1	ENST00000343380	.	.	1.48148931784982e-08	2.33337638035221e-05	.
PIK3R1	ENST00000521381	.	.	1.52400989472361e-08	2.33337638035221e-05	.
MAP2K4	ENST00000353533	.	.	1.6508113699643e-08	2.34698210769782e-05	.
KRAS	ENST00000256078	.	.	3.87022520890935e-08	5.13553083720878e-05	.
SMAD4	ENST00000342988	.	.	5.91181594804634e-08	7.35429903936965e-05	.
ERBB2	ENST00000269571	.	.	1.38901245706492e-07	0.000162628846737766	.
ERBB3	ENST00000267101	.	.	2.12887666521573e-07	0.000235406450802522	.
ACTN4	ENST00000252699	.	.	3.76593427276209e-07	0.000394511346131877	.
PTK2	ENST00000340930	.	.	4.35669964723761e-07	0.000433578748893087	.
CASP8	ENST00000358485	.	.	8.62343143963442e-07	0.000817337044640398	.
ARID1A	ENST00000324856	.	.	1.52890753286507e-06	0.0013832443424612	.
IDH1	ENST00000415913	.	.	1.71125046897991e-06	0.00148090127541635	.
CHD4	ENST00000357008	.	.	2.25734159180166e-06	0.00187208862680084	.
EEF1A1	ENST00000316292	.	.	2.6600966677885e-06	0.00211786256302649	.
HRAS	ENST00000451590	.	.	3.56771104087008e-06	0.00273122002144146	.
ACTG1	ENST00000575842	.	.	4.59119930578101e-06	0.0033825194446072	.
STAG1	ENST00000383202	.	.	4.75836738590241e-06	0.0033825194446072	.
MLLT4	ENST00000507704	.	.	5.01294377562716e-06	0.00344060803138217	.
FOXA1	ENST00000250448	.	.	5.53137881847976e-06	0.00356511526105088	.
NF1	ENST00000358273	.	.	5.55258104363833e-06	0.00356511526105088	.
GNAS	ENST00000371100	.	.	5.74491967247525e-06	0.00357334003627961	.
CCND1	ENST00000227507	.	.	6.17987739560715e-06	0.00372740241461105	.
TAF1	ENST00000276072	.	.	6.58553589221808e-06	0.00385525018819731	.
ESR1	ENST00000440973	.	.	1.02295623739864e-05	0.00563392807861702	.
