gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	1.80063302278334e-18	3.5171764834027e-14	.
APC	ENST00000457016	.	.	2.95539445448435e-17	2.88638599397214e-13	.
KRAS	ENST00000256078	.	.	1.03833573596029e-16	6.76060397683745e-13	.
SMAD4	ENST00000342988	.	.	3.32267435507293e-15	1.62254495444099e-11	.
FBXW7	ENST00000281708	.	.	1.71721746710142e-14	6.70848175697841e-11	.
PIK3CA	ENST00000263967	.	.	1.06325579362333e-13	3.46142923614075e-10	.
SMAD3	ENST00000327367	.	.	8.84990688941284e-13	2.46950330387001e-09	.
NRAS	ENST00000369535	.	.	2.13939979817053e-11	5.22361203220812e-08	.
PTEN	ENST00000371953	.	.	1.68507445271059e-09	3.65717325386622e-06	.
CTNNB1	ENST00000349496	.	.	1.93884594687625e-09	3.78714778803338e-06	.
TCF7L2	ENST00000543371	.	.	1.47251439573586e-08	2.61478397199169e-05	.
SMAD2	ENST00000402690	.	.	2.26170800094641e-08	3.68149519854052e-05	.
GNAS	ENST00000371100	.	.	4.59504824381677e-08	6.90423671895946e-05	.
EEF1A1	ENST00000316292	.	.	5.63760913356445e-08	7.86567280042246e-05	.
BRAF	ENST00000288602	.	.	7.13176770601366e-08	9.28698790677099e-05	.
PIK3R1	ENST00000521381	.	.	1.14142847858247e-07	0.000139347015450946	.
SMAD9	ENST00000379826	.	.	6.88857800728914e-07	0.000791497613037522	.
KCNQ3	ENST00000388996	.	.	7.71268629482083e-07	0.00080474998821578	.
MAP3K4	ENST00000392142	.	.	7.82790650494026e-07	0.00080474998821578	.
PTPN11	ENST00000351677	.	.	8.63244735058011e-07	0.000843087970494406	.
MYC	ENST00000377970	.	.	1.17316125759267e-06	0.00103340399890395	.
RB1	ENST00000267163	.	.	1.18473054713897e-06	0.00103340399890395	.
SOX9	ENST00000245479	.	.	1.21682752136338e-06	0.00103340399890395	.
ATM	ENST00000278616	.	.	1.66904108789742e-06	0.00135839081541251	.
EP300	ENST00000263253	.	.	3.20606950221695e-06	0.00250496622347215	.
MAX	ENST00000358664	.	.	4.11658959235094e-06	0.00294179016071881	.
CSNK2A1	ENST00000217244	.	.	4.11658959235094e-06	0.00294179016071881	.
AKT1	ENST00000554581	.	.	4.21697253366747e-06	0.00294179016071881	.
MAPK8	ENST00000374189	.	.	5.75399966187098e-06	0.00379766251277662	.
TRPC4	ENST00000379681	.	.	5.83268701086872e-06	0.00379766251277662	.
AKT3	ENST00000366539	.	.	6.08487525189453e-06	0.0038340602675889	.
LRP2	ENST00000263816	.	.	6.30069770955778e-06	0.00384598526127475	.
HRAS	ENST00000451590	.	.	6.6576672028914e-06	0.00394073374163872	.
IDH1	ENST00000415913	.	.	7.27333077449999e-06	0.00417852852995024	.
FN1	ENST00000354785	.	.	7.5525287530516e-06	0.0042149584038102	.
PDGFA	ENST00000354513	.	.	8.86079739318366e-06	0.0048077209855849	.
CREBBP	ENST00000262367	.	.	9.54283488547437e-06	0.00503784307616138	.
ULK2	ENST00000395544	.	.	1.22962432246961e-05	0.00630875186156774	.
LCK	ENST00000336890	.	.	1.25961870988144e-05	0.00630875186156774	.
PIK3CD	ENST00000377346	.	.	1.29782153612377e-05	0.0063375870162764	.
NR5A1	ENST00000373588	.	.	1.40847883080886e-05	0.00649648548099064	.
BMPR1A	ENST00000372037	.	.	1.41747675193156e-05	0.00649648548099064	.
PTK2	ENST00000340930	.	.	1.43013810312086e-05	0.00649648548099064	.
MMP9	ENST00000372330	.	.	1.48525524846826e-05	0.00659352062916603	.
ABL1	ENST00000372348	.	.	2.01286825037625e-05	0.00859190046336472	.
TGIF1	ENST00000330513	.	.	2.02338310200572e-05	0.00859190046336472	.
CTNNA2	ENST00000466387	.	.	2.18735125332137e-05	0.00900053539854177	.
ACVR2A	ENST00000241416	.	.	2.21177340464857e-05	0.00900053539854177	.
ATF2	ENST00000264110	.	.	2.28296187320153e-05	0.00910063148351949	.
CD28	ENST00000324106	.	.	2.45186717503349e-05	0.00945275921908546	.
ITGB2	ENST00000397850	.	.	2.48436339434885e-05	0.00945275921908546	.
PSMD2	ENST00000310118	.	.	2.55048035922927e-05	0.00945275921908546	.
ARID1A	ENST00000324856	.	.	2.56487092925577e-05	0.00945275921908546	.
PIK3R3	ENST00000262741	.	.	3.30573614350952e-05	0.0119575822391058	.
ERBB4	ENST00000342788	.	.	3.78071404236414e-05	0.013427034070818	.
ACVR1B	ENST00000541224	.	.	4.3244450760144e-05	0.015029575014978	.
RYR3	ENST00000389232	.	.	4.45913440141554e-05	0.015029575014978	.
FSHR	ENST00000406846	.	.	4.46278273111515e-05	0.015029575014978	.
PRKD1	ENST00000331968	.	.	5.05205915187716e-05	0.0166771120273584	.
MYH3	ENST00000583535	.	.	5.12898856383964e-05	0.0166771120273584	.
PCDHA12	ENST00000398631	.	.	5.20812898002795e-05	0.0166771120273584	.
CUBN	ENST00000377833	.	.	5.42763342293776e-05	0.0170996715564909	.
KDR	ENST00000263923	.	.	5.6569117129821e-05	0.0175391200777269	.
TIAM2	ENST00000461783	.	.	5.86991341111476e-05	0.0179151591655163	.
CACNA1E	ENST00000367573	.	.	6.0224402743442e-05	0.0180978962890408	.
TNKS	ENST00000310430	.	.	6.3589563704698e-05	0.0188196204218768	.
PCBP1	ENST00000303577	.	.	6.64955549232586e-05	0.0193859354375524	.
MAP2K4	ENST00000353533	.	.	7.8430784835516e-05	0.022529242944002	.
BLM	ENST00000355112	.	.	9.43754759602982e-05	0.0265845612897809	.
PIK3C2G	ENST00000433979	.	.	9.52705314229591e-05	0.0265845612897809	.
ATR	ENST00000350721	.	.	9.72117104082519e-05	0.026744173794428	.
ERBB3	ENST00000267101	.	.	0.000107213120892062	0.0284754345585052	.
AXIN1	ENST00000262320	.	.	0.000108220859648932	0.0284754345585052	.
GABRB3	ENST00000541819	.	.	0.000108353188916913	0.0284754345585052	.
ATP5B	ENST00000262030	.	.	0.00010933587221051	0.0284754345585052	.
AR	ENST00000374690	.	.	0.000113253928887173	0.0291077499072783	.
BAI3	ENST00000370598	.	.	0.000122326512739052	0.0310312178354793	.
NOS1	ENST00000338101	.	.	0.000127910183580206	0.0320316617419508	.
POLR2B	ENST00000381227	.	.	0.000131801107564238	0.0325882409373704	.
GLI3	ENST00000395925	.	.	0.000133754532964814	0.0326578411550214	.
LAMA5	ENST00000252999	.	.	0.000135955793849122	0.0327854879167272	.
LAMA4	ENST00000230538	.	.	0.000143077980125111	0.0339897472861036	.
GABRA5	ENST00000335625	.	.	0.000144429889148958	0.0339897472861036	.
MAPK10	ENST00000359221	.	.	0.000147216919778677	0.0342331915956774	.
MAP2K7	ENST00000397979	.	.	0.000149760657251528	0.0344149990364011	.
PARK2	ENST00000366898	.	.	0.000159959899857593	0.0363313572548647	.
PROS1	ENST00000394236	.	.	0.000162991072354536	0.036594305934496	.
PDYN	ENST00000217305	.	.	0.000169213702504341	0.0371894215649456	.
HNF1B	ENST00000225893	.	.	0.000169449573505358	0.0371894215649456	.
HNRNPA1	ENST00000340913	.	.	0.000175014507135619	0.0379839818653338	.
DGKI	ENST00000288490	.	.	0.00018491420797676	0.0394744262843396	.
PIK3CG	ENST00000359195	.	.	0.000185923678808132	0.0394744262843396	.
TUBGCP3	ENST00000261965	.	.	0.000190461471053655	0.0400030528396886	.
ULK1	ENST00000321867	.	.	0.000203505320415508	0.0422879725922991	.
GRIN2A	ENST00000396573	.	.	0.000208820179704237	0.0429356270543459	.
ERBB2	ENST00000269571	.	.	0.000212914722692988	0.0429633721731152	.
ITGA8	ENST00000378076	.	.	0.000213354175026477	0.0429633721731152	.
PWP1	ENST00000412830	.	.	0.000247060588871776	0.0492432090044123	.
HDAC7	ENST00000080059	.	.	0.000254103779441933	0.0496937871336917	.
KCNB1	ENST00000371741	.	.	0.000258291372471535	0.0496937871336917	.
MYL1	ENST00000352451	.	.	0.000262434334627205	0.0496937871336917	.
FURIN	ENST00000268171	.	.	0.000263571871502274	0.0496937871336917	.
RASGRP3	ENST00000403687	.	.	0.000264362649619601	0.0496937871336917	.
INSR	ENST00000302850	.	.	0.000264585770844414	0.0496937871336917	.
OR8K5	ENST00000313447	.	.	0.000272253893878212	0.0505115824316807	.
OR5AC2	ENST00000358642	.	.	0.000274111899747	0.0505115824316807	.
ING1	ENST00000375774	.	.	0.000279733225162546	0.0510656924028038	.
PRKCQ	ENST00000263125	.	.	0.000285721973548142	0.0516759936047765	.
PAX5	ENST00000358127	.	.	0.000295454805114264	0.0527151013806401	.
SDHA	ENST00000264932	.	.	0.000296864851885036	0.0527151013806401	.
OBSCN	ENST00000570156	.	.	0.000301124702463114	0.0529898091280361	.
RBPJL	ENST00000343694	.	.	0.000311107945212631	0.0536423845618591	.
BCOR	ENST00000378444	.	.	0.000312944972394241	0.0536423845618591	.
TTN	ENST00000589042	.	.	0.000313071818975679	0.0536423845618591	.
ITGB3	ENST00000560629	.	.	0.000316940179677992	0.0538329785186975	.
DKK2	ENST00000285311	.	.	0.000341516252100252	0.0569619704204992	.
SRC	ENST00000373578	.	.	0.000346515394837792	0.0569619704204992	.
KCNB2	ENST00000523207	.	.	0.000348515971504512	0.0569619704204992	.
TAS1R2	ENST00000375371	.	.	0.000349119258591857	0.0569619704204992	.
COL12A1	ENST00000322507	.	.	0.000352337394042848	0.0569619704204992	.
CTR9	ENST00000361367	.	.	0.000352859182966283	0.0569619704204992	.
TGFBR1	ENST00000374994	.	.	0.000359437312063458	0.0571502716006266	.
ARFGEF1	ENST00000262215	.	.	0.00035987730542554	0.0571502716006266	.
AQP4	ENST00000383168	.	.	0.000367104591466331	0.0575978729131391	.
NUP214	ENST00000359428	.	.	0.000368649534382605	0.0575978729131391	.
EGFR	ENST00000275493	.	.	0.000371542107564405	0.0575978729131391	.
GRK4	ENST00000398052	.	.	0.000377267464107738	0.0580249242237515	.
CLCA4	ENST00000370563	.	.	0.00039040712901058	0.0595767378981536	.
SLC4A2	ENST00000485713	.	.	0.000397548412359762	0.0598260227081371	.
HRH2	ENST00000377291	.	.	0.000398166331442063	0.0598260227081371	.
RYR2	ENST00000366574	.	.	0.000406725250157362	0.0604646326228311	.
EPHA5	ENST00000273854	.	.	0.000408616761597181	0.0604646326228311	.
JAK3	ENST00000458235	.	.	0.000413880255128255	0.0604646326228311	.
NPY2R	ENST00000329476	.	.	0.000414798585545455	0.0604646326228311	.
HGF	ENST00000222390	.	.	0.000426871717994943	0.0617635945747794	.
ABCC8	ENST00000389817	.	.	0.000437926207914388	0.062897151611704	.
CTNNA1	ENST00000302763	.	.	0.000441922912734378	0.0630078850689095	.
PRKG1	ENST00000401604	.	.	0.0004493496443753	0.0636025116201647	.
PDGFRA	ENST00000257290	.	.	0.000472705347670926	0.0660082641960161	.
ITGA4	ENST00000397033	.	.	0.000473104847562702	0.0660082641960161	.
NOS2	ENST00000313735	.	.	0.000477963213035458	0.0661103888658928	.
ALPP	ENST00000392027	.	.	0.000480605908921148	0.0661103888658928	.
FGD2	ENST00000274963	.	.	0.000491855987966592	0.0666241105062874	.
AP1S3	ENST00000396654	.	.	0.00049395758963345	0.0666241105062874	.
EPB41	ENST00000343067	.	.	0.000494936705721515	0.0666241105062874	.
LIG4	ENST00000356922	.	.	0.000502876226654023	0.0666241105062874	.
HTT	ENST00000355072	.	.	0.000503478509642941	0.0666241105062874	.
SMARCA1	ENST00000371122	.	.	0.000504805629188068	0.0666241105062874	.
CNTN1	ENST00000551295	.	.	0.000510734020940647	0.0669541451747225	.
LAMA2	ENST00000421865	.	.	0.000517308360234559	0.0673638946697443	.
LAMB2	ENST00000418109	.	.	0.000524539497616585	0.0678531788539388	.
SIN3B	ENST00000379803	.	.	0.000528729388861151	0.0678920557487046	.
LAMB1	ENST00000222399	.	.	0.000541024288328016	0.0678920557487046	.
ABCC9	ENST00000261200	.	.	0.000542649266503647	0.0678920557487046	.
LAMB3	ENST00000391911	.	.	0.000543149750006222	0.0678920557487046	.
PIK3R2	ENST00000222254	.	.	0.000549519019105493	0.0678920557487046	.
TAF1L	ENST00000242310	.	.	0.000552584835567437	0.0678920557487046	.
DMD	ENST00000357033	.	.	0.000555863410790465	0.0678920557487046	.
TRPV6	ENST00000359396	.	.	0.000557343141963216	0.0678920557487046	.
ITGA1	ENST00000282588	.	.	0.000559414029232048	0.0678920557487046	.
PRKCB	ENST00000303531	.	.	0.000561301385004611	0.0678920557487046	.
CUL3	ENST00000264414	.	.	0.000564114743238351	0.0678920557487046	.
PARP4	ENST00000381989	.	.	0.000566549177650072	0.0678920557487046	.
RHOBTB1	ENST00000337910	.	.	0.000575660530854776	0.0685632752999167	.
PDE6A	ENST00000255266	.	.	0.00058484456605235	0.0689707796017811	.
CACNA1A	ENST00000360228	.	.	0.000586143931495196	0.0689707796017811	.
NFATC2	ENST00000609943	.	.	0.000590703064853706	0.0690910357232781	.
PTPRN2	ENST00000389418	.	.	0.000601321938615531	0.0699144132558165	.
MED12	ENST00000374080	.	.	0.000622173574766825	0.071836758233971	.
