gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	8.53083477730174e-17	1.46753068922133e-12	.
PTEN	ENST00000371953	.	.	1.44470436032815e-16	1.46753068922133e-12	.
CDKN2A	ENST00000498124	.	.	1.67377958755755e-13	1.13348353669397e-09	.
PIK3CA	ENST00000263967	.	.	9.62505651807025e-13	4.88856620552788e-09	.
NFE2L2	ENST00000397062	.	.	1.77412849697909e-09	7.20863890892544e-06	.
SI	ENST00000264382	.	.	1.01542658990377e-08	3.43823443341416e-05	.
CASP8	ENST00000358485	.	.	1.42472654949724e-08	4.13496351136942e-05	.
KEAP1	ENST00000171111	.	.	3.00804002374099e-08	7.63891764029024e-05	.
NF1	ENST00000358273	.	.	3.47292616303754e-08	7.83955199203007e-05	.
CREBBP	ENST00000262367	.	.	4.04328456475826e-08	8.21433692176288e-05	.
RB1	ENST00000267163	.	.	4.79216284645154e-08	8.85068912622814e-05	.
RYR2	ENST00000366574	.	.	7.24271009786316e-08	0.000122619081956823	.
EP300	ENST00000263253	.	.	1.93839336609888e-07	0.000302926150966653	.
NOTCH1	ENST00000277541	.	.	2.19315815541833e-07	0.000318258579181991	.
PRKCB	ENST00000303531	.	.	2.83046708561366e-07	0.000383358462075514	.
FAT1	ENST00000441802	.	.	3.26277327362278e-07	0.000398565715786403	.
SMAD4	ENST00000342988	.	.	3.33511378635994e-07	0.000398565715786403	.
FBXW7	ENST00000281708	.	.	3.53334340505788e-07	0.000398796692317533	.
RASA1	ENST00000274376	.	.	5.41562853835245e-07	0.00057907320729036	.
EPHA6	ENST00000389672	.	.	6.33726969978308e-07	0.000643739856103965	.
MYH2	ENST00000245503	.	.	1.05462000886412e-06	0.0010202695285754	.
PIK3CG	ENST00000359195	.	.	1.15845112522118e-06	0.00106977695727243	.
LRP1B	ENST00000389484	.	.	1.86551661421197e-06	0.00164781893627523	.
PIK3R1	ENST00000521381	.	.	2.2138148714847e-06	0.0018739942887118	.
EPHA5	ENST00000273854	.	.	4.24082311847173e-06	0.00344626249899487	.
TTN	ENST00000589042	.	.	4.61173312791944e-06	0.00347638774791157	.
RAC1	ENST00000356142	.	.	4.62012547714178e-06	0.00347638774791157	.
CDH7	ENST00000397968	.	.	4.8415053065447e-06	0.00351285792170579	.
LRP5	ENST00000294304	.	.	5.76081873730267e-06	0.00403575149886348	.
ACTC1	ENST00000290378	.	.	6.65601994514466e-06	0.00436585853362263	.
MYH7	ENST00000355349	.	.	6.84936503919896e-06	0.00436585853362263	.
EPB41L3	ENST00000341928	.	.	6.8767214548102e-06	0.00436585853362263	.
MCM4	ENST00000262105	.	.	7.44051044919348e-06	0.00458064879653984	.
VAV1	ENST00000602142	.	.	1.14187904254077e-05	0.00682306312595832	.
PTPRC	ENST00000442510	.	.	1.17694244997832e-05	0.00683164651821701	.
DCT	ENST00000446125	.	.	1.56651701508306e-05	0.00884037768845207	.
HGF	ENST00000222390	.	.	1.69825202074723e-05	0.00922657012924249	.
FYN	ENST00000354650	.	.	1.72578098499318e-05	0.00922657012924249	.
HSPA6	ENST00000309758	.	.	1.87362123692517e-05	0.00976012539727481	.
DPF3	ENST00000556509	.	.	2.3688324587007e-05	0.011659906732886	.
CUL3	ENST00000264414	.	.	2.37110621650235e-05	0.011659906732886	.
POU2F1	ENST00000367866	.	.	2.41049459923809e-05	0.011659906732886	.
DOCK2	ENST00000256935	.	.	2.79028813817649e-05	0.0131831380965566	.
MYH1	ENST00000226207	.	.	3.26348961030555e-05	0.0150684215734017	.
NOTCH2	ENST00000256646	.	.	3.69977619699655e-05	0.0159754320223284	.
CHEK1	ENST00000534070	.	.	3.71559567122315e-05	0.0159754320223284	.
CASP1	ENST00000533400	.	.	3.73139787748945e-05	0.0159754320223284	.
CUBN	ENST00000377833	.	.	3.77446710509827e-05	0.0159754320223284	.
PIK3C2G	ENST00000433979	.	.	4.42504271778397e-05	0.0183467689498978	.
KDR	ENST00000263923	.	.	4.91373076069638e-05	0.0194812273060492	.
BCHE	ENST00000264381	.	.	4.96621953427245e-05	0.0194812273060492	.
EGFR	ENST00000275493	.	.	4.98633500647056e-05	0.0194812273060492	.
TYR	ENST00000263321	.	.	5.45354807124625e-05	0.0209045816255545	.
GLI1	ENST00000228682	.	.	5.87063212793589e-05	0.0220866226502121	.
SF3B1	ENST00000335508	.	.	6.09503172924084e-05	0.0224669538161201	.
ACACB	ENST00000338432	.	.	6.19292746807146e-05	0.0224669538161201	.
NRAS	ENST00000369535	.	.	6.30348674699175e-05	0.0224669538161201	.
FN1	ENST00000354785	.	.	6.60829834191906e-05	0.0231472739852461	.
SEC62	ENST00000337002	.	.	6.9612892868129e-05	0.0239704327374391	.
ERBB2IP	ENST00000506030	.	.	7.1215719091121e-05	0.0240586459968427	.
PIK3R2	ENST00000222254	.	.	7.22375175136544e-05	0.0240586459968427	.
CYC1	ENST00000318911	.	.	7.41353695151163e-05	0.0242924865656307	.
KRAS	ENST00000256078	.	.	7.79821948530371e-05	0.0251474011211794	.
PTK2	ENST00000340930	.	.	8.30059324631076e-05	0.0263491956862577	.
SMAD1	ENST00000515385	.	.	9.33432062868745e-05	0.0291747781372945	.
AKT1	ENST00000554581	.	.	9.50061371281924e-05	0.029244616392369	.
ARID1A	ENST00000324856	.	.	0.000102801835493417	0.0310669975246079	.
GNAS	ENST00000371100	.	.	0.000103984831249918	0.0310669975246079	.
MBL2	ENST00000373968	.	.	0.000106730598297914	0.0311362150685505	.
GNB4	ENST00000232564	.	.	0.000107281701850686	0.0311362150685505	.
HRAS	ENST00000451590	.	.	0.000110318610700085	0.0315666604927173	.
BRCA1	ENST00000471181	.	.	0.000126846499067677	0.0357918538202629	.
STAT4	ENST00000392320	.	.	0.000136114065102999	0.0378807307757881	.
DVL3	ENST00000313143	.	.	0.000139571642047675	0.0383180740518995	.
CUL1	ENST00000325222	.	.	0.00014624519994238	0.0396148997603919	.
RARA	ENST00000254066	.	.	0.000160140616173618	0.0423730014137521	.
EDNRB	ENST00000377211	.	.	0.000160598597600852	0.0423730014137521	.
LCK	ENST00000336890	.	.	0.00017228083242676	0.0448725306613084	.
CDH2	ENST00000269141	.	.	0.000182690978008874	0.0465195384967634	.
TFRC	ENST00000360110	.	.	0.000183550091844512	0.0465195384967634	.
PYGL	ENST00000216392	.	.	0.000185473647284792	0.0465195384967634	.
SDHA	ENST00000264932	.	.	0.000197659357167446	0.0480062702505779	.
CDH8	ENST00000577390	.	.	0.000197989804326131	0.0480062702505779	.
TNF	ENST00000449264	.	.	0.000198490190049643	0.0480062702505779	.
NFKB1	ENST00000226574	.	.	0.000202197584113867	0.048259587340675	.
PPFIA2	ENST00000549396	.	.	0.000204288467774072	0.048259587340675	.
DGKI	ENST00000288490	.	.	0.000209100481274383	0.0487102424975277	.
COL11A1	ENST00000370096	.	.	0.000210991402824495	0.0487102424975277	.
RHOA	ENST00000418115	.	.	0.000223480220442507	0.0501303363141881	.
ADCY8	ENST00000286355	.	.	0.000224214871213411	0.0501303363141881	.
RELN	ENST00000428762	.	.	0.000224545215819606	0.0501303363141881	.
TAF1L	ENST00000242310	.	.	0.000233505723210063	0.0502153959545167	.
HSPA8	ENST00000534624	.	.	0.000234593399546469	0.0502153959545167	.
PSEN1	ENST00000324501	.	.	0.000236859342934784	0.0502153959545167	.
ATR	ENST00000350721	.	.	0.000238662322562364	0.0502153959545167	.
FADD	ENST00000301838	.	.	0.000240353051932534	0.0502153959545167	.
CTTN	ENST00000376561	.	.	0.000241434909511078	0.0502153959545167	.
