gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	2.74614108330202e-17	5.44340085532126e-13	.
SMAD4	ENST00000342988	.	.	6.06665651956002e-16	6.01266327653594e-12	.
RHOA	ENST00000418115	.	.	2.81204846930127e-14	1.85801415861633e-10	.
KRAS	ENST00000256078	.	.	7.42381653380414e-14	3.67887228332664e-10	.
PIK3CA	ENST00000263967	.	.	6.63085948096461e-13	2.62873793263361e-09	.
CDH1	ENST00000261769	.	.	1.26430155408145e-11	3.82734105761805e-08	.
CTNNB1	ENST00000349496	.	.	1.35159859768572e-11	3.82734105761805e-08	.
CDKN2A	ENST00000498124	.	.	8.47825835622071e-11	2.10070046421259e-07	.
APC	ENST00000457016	.	.	1.82308835931746e-10	4.01525082871008e-07	.
TGFBR2	ENST00000359013	.	.	2.43263620179694e-09	4.82197147920189e-06	.
ERBB4	ENST00000342788	.	.	8.4242918088676e-09	1.51805738395794e-05	.
MAP2K7	ENST00000397979	.	.	9.74327337824342e-09	1.60942637419618e-05	.
SMAD2	ENST00000402690	.	.	2.2127608666599e-08	3.37394968453327e-05	.
ATM	ENST00000278616	.	.	3.86846212372316e-08	5.47718972974575e-05	.
GNGT1	ENST00000248572	.	.	5.84037687726212e-08	7.71786336407265e-05	.
ERBB3	ENST00000267101	.	.	1.12614097639294e-07	0.000137028596420037	.
ARID1A	ENST00000324856	.	.	1.27242220903956e-07	0.000137028596420037	.
PTEN	ENST00000371953	.	.	1.28124609170899e-07	0.000137028596420037	.
PRKCG	ENST00000263431	.	.	1.31346147310095e-07	0.000137028596420037	.
NRAS	ENST00000369535	.	.	1.46102775242249e-07	0.000139028295351849	.
HCK	ENST00000375852	.	.	1.47290596427648e-07	0.000139028295351849	.
CASP8	ENST00000358485	.	.	2.55551302615646e-07	0.000230251723656697	.
TGFBR1	ENST00000374994	.	.	3.30460061305347e-07	0.000284799101530199	.
FBXW7	ENST00000281708	.	.	9.84116533952965e-07	0.000812798247333986	.
ERBB2	ENST00000269571	.	.	1.31313064068721e-06	0.00104115502238808	.
EGFR	ENST00000275493	.	.	1.45047481490914e-06	0.00110581968388958	.
PIK3CG	ENST00000359195	.	.	1.75440156430099e-06	0.00128799065953979	.
GNAS	ENST00000371100	.	.	2.19037432713974e-06	0.00155062856830585	.
CREBBP	ENST00000262367	.	.	2.53510625693087e-06	0.00173278883534082	.
CDH9	ENST00000231021	.	.	2.65055466446565e-06	0.0017513098186346	.
DLD	ENST00000205402	.	.	3.46650357044529e-06	0.00221654947656021	.
CPS1	ENST00000430249	.	.	4.08734670260775e-06	0.00253185582309659	.
PTK2	ENST00000340930	.	.	4.45671298080107e-06	0.00259294946314897	.
HGF	ENST00000222390	.	.	4.54415436390215e-06	0.00259294946314897	.
MYC	ENST00000377970	.	.	4.57840940420815e-06	0.00259294946314897	.
ARHGEF6	ENST00000250617	.	.	6.63602711152138e-06	0.00364719466864085	.
PTK2B	ENST00000397501	.	.	6.80790045099947e-06	0.00364719466864085	.
DCLK1	ENST00000255448	.	.	9.15081489412771e-06	0.00477335402187893	.
PIK3CD	ENST00000377346	.	.	9.60494438597711e-06	0.00488177455432919	.
PTPRC	ENST00000442510	.	.	1.16807752037829e-05	0.00578840815223462	.
ITGAV	ENST00000261023	.	.	1.23177423328192e-05	0.00595517776880835	.
PIK3R3	ENST00000262741	.	.	1.34696247855379e-05	0.00635702148806982	.
RASA1	ENST00000274376	.	.	1.40748412948611e-05	0.00648817451504039	.
BMPR2	ENST00000374580	.	.	1.49520667828643e-05	0.00673590608568037	.
C3	ENST00000245907	.	.	1.5676729208557e-05	0.00689680956344133	.
RBBP7	ENST00000380084	.	.	1.62608752136998e-05	0.00689680956344133	.
CDH11	ENST00000268603	.	.	1.65847749585886e-05	0.00689680956344133	.
BIRC3	ENST00000263464	.	.	1.67009816892939e-05	0.00689680956344133	.
TBP	ENST00000392092	.	.	1.71008585241571e-05	0.00691782076869065	.
ABCB1	ENST00000265724	.	.	1.75735387939098e-05	0.0069668537194576	.
EEF1A1	ENST00000316292	.	.	2.04070479072656e-05	0.0079315392866239	.
BCOR	ENST00000378444	.	.	2.14779100496505e-05	0.00812958134475231	.
MAP2K4	ENST00000353533	.	.	2.17368485153805e-05	0.00812958134475231	.
DKK2	ENST00000285311	.	.	2.40865609739039e-05	0.0088415520671245	.
TAF1L	ENST00000242310	.	.	2.58157858713142e-05	0.00926675074927099	.
FIGF	ENST00000297904	.	.	2.6179903236766e-05	0.00926675074927099	.
ADRBK1	ENST00000308595	.	.	2.71304137408304e-05	0.00932939085643928	.
LAMA1	ENST00000389658	.	.	2.72981873510987e-05	0.00932939085643928	.
YWHAH	ENST00000248975	.	.	2.8437761556745e-05	0.00955412389114914	.
EPHA6	ENST00000389672	.	.	2.919525717078e-05	0.00959378566526596	.
JAK2	ENST00000381652	.	.	2.95238081717901e-05	0.00959378566526596	.
RB1	ENST00000267163	.	.	3.06355164195454e-05	0.00979447107206821	.
COL11A1	ENST00000370096	.	.	3.36374527339509e-05	0.0105508083334232	.
CACNA1C	ENST00000347598	.	.	3.45353118716489e-05	0.0105508083334232	.
ADAM17	ENST00000310823	.	.	3.45980497261884e-05	0.0105508083334232	.
SMAD3	ENST00000327367	.	.	3.85758818573807e-05	0.0115856231845	.
AXIN1	ENST00000262320	.	.	4.24421544213918e-05	0.0125565430588183	.
ROCK2	ENST00000315872	.	.	4.38720967192998e-05	0.0126330623919279	.
PRKCQ	ENST00000263125	.	.	4.39754467280306e-05	0.0126330623919279	.
ROCK1	ENST00000399799	.	.	4.67198444830247e-05	0.0132297251048931	.
ARID2	ENST00000334344	.	.	5.07993835483523e-05	0.0141823293055696	.
TCF7L2	ENST00000543371	.	.	5.20961490787222e-05	0.0143423592644227	.
PRKCA	ENST00000413366	.	.	5.39565265938153e-05	0.0146510447964741	.
HSP90AA1	ENST00000334701	.	.	5.72208734293709e-05	0.0152460905687904	.
RNF217	ENST00000359704	.	.	5.76862472333409e-05	0.0152460905687904	.
NR3C1	ENST00000231509	.	.	5.92448346552978e-05	0.0154519883228594	.
F2	ENST00000311907	.	.	6.28838575940608e-05	0.0161881016263568	.
RNF43	ENST00000584437	.	.	6.71618411498662e-05	0.0169190443454833	.
PIK3C3	ENST00000262039	.	.	6.743035532707e-05	0.0169190443454833	.
ACVR1B	ENST00000541224	.	.	6.90963644840447e-05	0.0171203517100342	.
PLK1	ENST00000300093	.	.	7.11358677922589e-05	0.017220189670052	.
COL1A2	ENST00000297268	.	.	7.12367850340159e-05	0.017220189670052	.
