gene	transcript	protein_change	score	pvalue	qvalue	info
ANK2	ENST00000506722	.	0.0423728813559322	.	.	.
HSPG2	ENST00000374695	.	0.0423728813559322	.	.	.
ANK3	ENST00000503366	.	0.0338983050847458	.	.	.
COL18A1	ENST00000355480	.	0.0338983050847458	.	.	.
GOLGA4	ENST00000356847	.	0.0338983050847458	.	.	.
KCNJ2	ENST00000243457	.	0.0338983050847458	.	.	.
LAMA1	ENST00000389658	.	0.0338983050847458	.	.	.
MACF1	ENST00000545844	.	0.0338983050847458	.	.	.
MAGI2	ENST00000354212	.	0.0338983050847458	.	.	.
NID2	ENST00000216286	.	0.0338983050847458	.	.	.
OBSCN	ENST00000570156	.	0.0338983050847458	.	.	.
SPTBN2	ENST00000533211	.	0.0338983050847458	.	.	.
ALG10	ENST00000266483	.	0.0254237288135593	.	.	.
BSN	ENST00000296452	.	0.0254237288135593	.	.	.
COL7A1	ENST00000328333	.	0.0254237288135593	.	.	.
CTNND2	ENST00000304623	.	0.0254237288135593	.	.	.
EML1	ENST00000334192	.	0.0254237288135593	.	.	.
GRID2	ENST00000282020	.	0.0254237288135593	.	.	.
GRID2IP	ENST00000457091	.	0.0254237288135593	.	.	.
ITIH2	ENST00000358415	.	0.0254237288135593	.	.	.
KCNH1	ENST00000271751	.	0.0254237288135593	.	.	.
LRRC7	ENST00000370958	.	0.0254237288135593	.	.	.
RIMS1	ENST00000521978	.	0.0254237288135593	.	.	.
SCN2A	ENST00000357398	.	0.0254237288135593	.	.	.
SELP	ENST00000263686	.	0.0254237288135593	.	.	.
ABCC9	ENST00000261200	.	0.0169491525423729	.	.	.
ACAN	ENST00000439576	.	0.0169491525423729	.	.	.
ARHGEF10L	ENST00000361221	.	0.0169491525423729	.	.	.
BCAN	ENST00000329117	.	0.0169491525423729	.	.	.
CNTNAP2	ENST00000361727	.	0.0169491525423729	.	.	.
DGKD	ENST00000264057	.	0.0169491525423729	.	.	.
DGKH	ENST00000337343	.	0.0169491525423729	.	.	.
KCNB1	ENST00000371741	.	0.0169491525423729	.	.	.
KCNG4	ENST00000308251	.	0.0169491525423729	.	.	.
MASP2	ENST00000400897	.	0.0169491525423729	.	.	.
MYH2	ENST00000245503	.	0.0169491525423729	.	.	.
NCAN	ENST00000252575	.	0.0169491525423729	.	.	.
NFASC	ENST00000339876	.	0.0169491525423729	.	.	.
NLGN1	ENST00000457714	.	0.0169491525423729	.	.	.
NRXN1	ENST00000404971	.	0.0169491525423729	.	.	.
PDZD2	ENST00000438447	.	0.0169491525423729	.	.	.
PLXNB3	ENST00000538966	.	0.0169491525423729	.	.	.
PLXND1	ENST00000324093	.	0.0169491525423729	.	.	.
SEC24C	ENST00000339365	.	0.0169491525423729	.	.	.
SERPING1	ENST00000278407	.	0.0169491525423729	.	.	.
SPINT1	ENST00000344051	.	0.0169491525423729	.	.	.
TNR	ENST00000367674	.	0.0169491525423729	.	.	.
UNC13B	ENST00000378495	.	0.0169491525423729	.	.	.
AMPD1	ENST00000520113	.	0.00847457627118644	.	.	.
ANXA9	ENST00000368947	.	0.00847457627118644	.	.	.
BTBD3	ENST00000405977	.	0.00847457627118644	.	.	.
C1S	ENST00000406697	.	0.00847457627118644	.	.	.
CUL9	ENST00000252050	.	0.00847457627118644	.	.	.
DOC2A	ENST00000350119	.	0.00847457627118644	.	.	.
DSCAML1	ENST00000321322	.	0.00847457627118644	.	.	.
DUS1L	ENST00000354321	.	0.00847457627118644	.	.	.
GRID1	ENST00000327946	.	0.00847457627118644	.	.	.
HGFAC	ENST00000382774	.	0.00847457627118644	.	.	.
ITIH3	ENST00000449956	.	0.00847457627118644	.	.	.
KCNG1	ENST00000371571	.	0.00847457627118644	.	.	.
KCNJ15	ENST00000328656	.	0.00847457627118644	.	.	.
KCNJ16	ENST00000392670	.	0.00847457627118644	.	.	.
KCNJ8	ENST00000240662	.	0.00847457627118644	.	.	.
KCNS3	ENST00000403915	.	0.00847457627118644	.	.	.
MIA3	ENST00000344922	.	0.00847457627118644	.	.	.
MYO16	ENST00000356711	.	0.00847457627118644	.	.	.
NLGN3	ENST00000358741	.	0.00847457627118644	.	.	.
NRXN3	ENST00000554719	.	0.00847457627118644	.	.	.
PLCL2	ENST00000418129	.	0.00847457627118644	.	.	.
PTPRN2	ENST00000389418	.	0.00847457627118644	.	.	.
SEMA3E	ENST00000307792	.	0.00847457627118644	.	.	.
SIGLEC1	ENST00000344754	.	0.00847457627118644	.	.	.
SIPA1L1	ENST00000555818	.	0.00847457627118644	.	.	.
SPINT2	ENST00000301244	.	0.00847457627118644	.	.	.
SPOCK2	ENST00000373109	.	0.00847457627118644	.	.	.
SPOCK3	ENST00000357154	.	0.00847457627118644	.	.	.
SPTBN4	ENST00000352632	.	0.00847457627118644	.	.	.
TMPRSS6	ENST00000346753	.	0.00847457627118644	.	.	.
TRAK2	ENST00000332624	.	0.00847457627118644	.	.	.
UNC13A	ENST00000519716	.	0.00847457627118644	.	.	.
ZC3H7A	ENST00000396516	.	0.00847457627118644	.	.	.
