gene	transcript	protein_change	score	pvalue	qvalue	info
APC	ENST00000457016	.	0.802631578947368	.	.	.
KRAS	ENST00000256078	.	0.508771929824561	.	.	.
PIK3CA	ENST00000263967	.	0.280701754385965	.	.	.
ACAN	ENST00000439576	.	0.0482456140350877	.	.	.
NAV3	ENST00000536525	.	0.0482456140350877	.	.	.
NFASC	ENST00000339876	.	0.0482456140350877	.	.	.
APBA2	ENST00000558402	.	0.043859649122807	.	.	.
CDH10	ENST00000264463	.	0.043859649122807	.	.	.
CDH18	ENST00000507958	.	0.043859649122807	.	.	.
KCNQ2	ENST00000359125	.	0.043859649122807	.	.	.
ROBO1	ENST00000464233	.	0.043859649122807	.	.	.
TNR	ENST00000367674	.	0.043859649122807	.	.	.
NCAM1	ENST00000524665	.	0.0394736842105263	.	.	.
NCKAP5	ENST00000409261	.	0.0394736842105263	.	.	.
AXIN2	ENST00000307078	.	0.0350877192982456	.	.	.
RP1	ENST00000220676	.	0.0350877192982456	.	.	.
SLIT1	ENST00000266058	.	0.0350877192982456	.	.	.
ATP7A	ENST00000341514	.	0.0307017543859649	.	.	.
GFRA1	ENST00000355422	.	0.0307017543859649	.	.	.
GRID2	ENST00000282020	.	0.0307017543859649	.	.	.
KCNH5	ENST00000322893	.	0.0307017543859649	.	.	.
KCNQ3	ENST00000388996	.	0.0307017543859649	.	.	.
SPTB	ENST00000389722	.	0.0307017543859649	.	.	.
ALPP	ENST00000392027	.	0.0263157894736842	.	.	.
CP	ENST00000264613	.	0.0263157894736842	.	.	.
FCN2	ENST00000291744	.	0.0263157894736842	.	.	.
KCND2	ENST00000331113	.	0.0263157894736842	.	.	.
KCNH1	ENST00000271751	.	0.0263157894736842	.	.	.
KCNQ5	ENST00000342056	.	0.0263157894736842	.	.	.
LAMA3	ENST00000313654	.	0.0263157894736842	.	.	.
NAV2	ENST00000396087	.	0.0263157894736842	.	.	.
PLXNA2	ENST00000367033	.	0.0263157894736842	.	.	.
WNT5A	ENST00000474267	.	0.0263157894736842	.	.	.
CDH12	ENST00000382254	.	0.0219298245614035	.	.	.
DCX	ENST00000338081	.	0.0219298245614035	.	.	.
EML1	ENST00000334192	.	0.0219298245614035	.	.	.
FZD1	ENST00000287934	.	0.0219298245614035	.	.	.
GPLD1	ENST00000230036	.	0.0219298245614035	.	.	.
MASP1	ENST00000337774	.	0.0219298245614035	.	.	.
MPO	ENST00000225275	.	0.0219298245614035	.	.	.
CDH19	ENST00000262150	.	0.0175438596491228	.	.	.
CDH6	ENST00000265071	.	0.0175438596491228	.	.	.
CHRND	ENST00000258385	.	0.0175438596491228	.	.	.
EXPH5	ENST00000265843	.	0.0175438596491228	.	.	.
GRID1	ENST00000327946	.	0.0175438596491228	.	.	.
IFT80	ENST00000326448	.	0.0175438596491228	.	.	.
NAV1	ENST00000367296	.	0.0175438596491228	.	.	.
NCKAP5L	ENST00000335999	.	0.0175438596491228	.	.	.
SLIT2	ENST00000504154	.	0.0175438596491228	.	.	.
CHRNA1	ENST00000261007	.	0.0131578947368421	.	.	.
DPP10	ENST00000436732	.	0.0131578947368421	.	.	.
EIF2AK1	ENST00000199389	.	0.0131578947368421	.	.	.
ITGA7	ENST00000553804	.	0.0131578947368421	.	.	.
KCNC1	ENST00000265969	.	0.0131578947368421	.	.	.
KCNQ4	ENST00000347132	.	0.0131578947368421	.	.	.
KCNV2	ENST00000382082	.	0.0131578947368421	.	.	.
KRT13	ENST00000246635	.	0.0131578947368421	.	.	.
MASP2	ENST00000400897	.	0.0131578947368421	.	.	.
ROBO4	ENST00000306534	.	0.0131578947368421	.	.	.
ROR1	ENST00000371079	.	0.0131578947368421	.	.	.
SCN3B	ENST00000392770	.	0.0131578947368421	.	.	.
SIGLEC1	ENST00000344754	.	0.0131578947368421	.	.	.
ST8SIA4	ENST00000231461	.	0.0131578947368421	.	.	.
TRDN	ENST00000398178	.	0.0131578947368421	.	.	.
APOA4	ENST00000357780	.	0.0087719298245614	.	.	.
ASPH	ENST00000379454	.	0.0087719298245614	.	.	.
CASQ2	ENST00000261448	.	0.0087719298245614	.	.	.
CHRNG	ENST00000389494	.	0.0087719298245614	.	.	.
GRID2IP	ENST00000457091	.	0.0087719298245614	.	.	.
ITIH1	ENST00000273283	.	0.0087719298245614	.	.	.
KCNIP2	ENST00000461105	.	0.0087719298245614	.	.	.
NECAB3	ENST00000246190	.	0.0087719298245614	.	.	.
P2RX2	ENST00000343948	.	0.0087719298245614	.	.	.
CHRNE	ENST00000293780	.	0.0043859649122807	.	.	.
CLSTN3	ENST00000266546	.	0.0043859649122807	.	.	.
HACE1	ENST00000262903	.	0.0043859649122807	.	.	.
HRC	ENST00000252825	.	0.0043859649122807	.	.	.
KIAA1328	ENST00000280020	.	0.0043859649122807	.	.	.
KRT23	ENST00000209718	.	0.0043859649122807	.	.	.
P2RX1	ENST00000225538	.	0.0043859649122807	.	.	.
P2RX3	ENST00000263314	.	0.0043859649122807	.	.	.
POM121C	ENST00000453279	.	0.0043859649122807	.	.	.
ST8SIA3	ENST00000324000	.	0.0043859649122807	.	.	.
VARS2	ENST00000541562	.	0.0043859649122807	.	.	.
