gene	transcript	protein_change	score	pvalue	qvalue	info
CDH9	ENST00000231021	.	0.0465116279069767	.	.	.
CNTN1	ENST00000551295	.	0.0465116279069767	.	.	.
GRIA1	ENST00000518783	.	0.0465116279069767	.	.	.
GRIA2	ENST00000296526	.	0.0465116279069767	.	.	.
LAMA5	ENST00000252999	.	0.0465116279069767	.	.	.
CDH10	ENST00000264463	.	0.0406976744186047	.	.	.
DSCAML1	ENST00000321322	.	0.0406976744186047	.	.	.
KCNJ2	ENST00000243457	.	0.0406976744186047	.	.	.
SIGLEC1	ENST00000344754	.	0.0406976744186047	.	.	.
WNT5A	ENST00000474267	.	0.0406976744186047	.	.	.
GRIA3	ENST00000264357	.	0.0348837209302326	.	.	.
KCNH1	ENST00000271751	.	0.0348837209302326	.	.	.
KCNJ16	ENST00000392670	.	0.0348837209302326	.	.	.
MAGI2	ENST00000354212	.	0.0348837209302326	.	.	.
TNC	ENST00000350763	.	0.0348837209302326	.	.	.
CDH18	ENST00000507958	.	0.0290697674418605	.	.	.
CDH6	ENST00000265071	.	0.0290697674418605	.	.	.
LAMC1	ENST00000258341	.	0.0290697674418605	.	.	.
NID2	ENST00000216286	.	0.0290697674418605	.	.	.
TNR	ENST00000367674	.	0.0290697674418605	.	.	.
ABCC8	ENST00000389817	.	0.0232558139534884	.	.	.
ACAN	ENST00000439576	.	0.0232558139534884	.	.	.
CDH19	ENST00000262150	.	0.0232558139534884	.	.	.
CHRNA4	ENST00000370263	.	0.0232558139534884	.	.	.
FZD1	ENST00000287934	.	0.0232558139534884	.	.	.
GRID2	ENST00000282020	.	0.0232558139534884	.	.	.
SPN	ENST00000360121	.	0.0232558139534884	.	.	.
ALG10	ENST00000266483	.	0.0174418604651163	.	.	.
KCNJ15	ENST00000328656	.	0.0174418604651163	.	.	.
KCNJ8	ENST00000240662	.	0.0174418604651163	.	.	.
LAMB2	ENST00000418109	.	0.0174418604651163	.	.	.
ROR2	ENST00000375715	.	0.0174418604651163	.	.	.
BCAM	ENST00000270233	.	0.0116279069767442	.	.	.
CHRNA5	ENST00000299565	.	0.0116279069767442	.	.	.
CHRNB4	ENST00000261751	.	0.0116279069767442	.	.	.
CRYBB1	ENST00000215939	.	0.0116279069767442	.	.	.
FZD2	ENST00000315323	.	0.0116279069767442	.	.	.
GRID2IP	ENST00000457091	.	0.0116279069767442	.	.	.
KCNF1	ENST00000295082	.	0.0116279069767442	.	.	.
KCNG3	ENST00000306078	.	0.0116279069767442	.	.	.
TNFAIP6	ENST00000243347	.	0.0116279069767442	.	.	.
WNT3	ENST00000225512	.	0.0116279069767442	.	.	.
CHRNA3	ENST00000326828	.	0.00581395348837209	.	.	.
CHRNB2	ENST00000368476	.	0.00581395348837209	.	.	.
CRELD2	ENST00000404488	.	0.00581395348837209	.	.	.
CRYBA4	ENST00000354760	.	0.00581395348837209	.	.	.
KCNH5	ENST00000322893	.	0.00581395348837209	.	.	.
ROR1	ENST00000371079	.	0.00581395348837209	.	.	.
