gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	0.307692307692308	.	.	.
PTEN	ENST00000371953	.	0.0923076923076923	.	.	.
TTN	ENST00000589042	.	0.0461538461538462	.	.	.
DST	ENST00000449297	.	0.0307692307692308	.	.	.
HSPG2	ENST00000374695	.	0.0307692307692308	.	.	.
MCM3AP	ENST00000397708	.	0.0307692307692308	.	.	.
MEGF10	ENST00000274473	.	0.0307692307692308	.	.	.
NEB	ENST00000397345	.	0.0307692307692308	.	.	.
PTPRN2	ENST00000389418	.	0.0307692307692308	.	.	.
TP63	ENST00000264731	.	0.0307692307692308	.	.	.
VWA1	ENST00000476993	.	0.0307692307692308	.	.	.
ANK2	ENST00000506722	.	0.0153846153846154	.	.	.
ANKRD2	ENST00000307518	.	0.0153846153846154	.	.	.
BHLHE40	ENST00000256495	.	0.0153846153846154	.	.	.
BMP1	ENST00000306385	.	0.0153846153846154	.	.	.
CACNA1C	ENST00000347598	.	0.0153846153846154	.	.	.
CACNB1	ENST00000394303	.	0.0153846153846154	.	.	.
CAPN3	ENST00000397163	.	0.0153846153846154	.	.	.
CELSR3	ENST00000164024	.	0.0153846153846154	.	.	.
CHRD	ENST00000204604	.	0.0153846153846154	.	.	.
COL17A1	ENST00000353479	.	0.0153846153846154	.	.	.
DHDDS	ENST00000360009	.	0.0153846153846154	.	.	.
EXOC1	ENST00000381295	.	0.0153846153846154	.	.	.
GEM	ENST00000297596	.	0.0153846153846154	.	.	.
GOLGA4	ENST00000356847	.	0.0153846153846154	.	.	.
HDAC8	ENST00000373573	.	0.0153846153846154	.	.	.
ITGA2	ENST00000296585	.	0.0153846153846154	.	.	.
KIAA1731	ENST00000325212	.	0.0153846153846154	.	.	.
LAMA1	ENST00000389658	.	0.0153846153846154	.	.	.
LAMA3	ENST00000313654	.	0.0153846153846154	.	.	.
LAMA4	ENST00000230538	.	0.0153846153846154	.	.	.
LOX	ENST00000231004	.	0.0153846153846154	.	.	.
MYBPC3	ENST00000545968	.	0.0153846153846154	.	.	.
MYL9	ENST00000279022	.	0.0153846153846154	.	.	.
MYPN	ENST00000358913	.	0.0153846153846154	.	.	.
OBSCN	ENST00000570156	.	0.0153846153846154	.	.	.
PCOLCE	ENST00000223061	.	0.0153846153846154	.	.	.
PNP	ENST00000361505	.	0.0153846153846154	.	.	.
RNASEH2A	ENST00000221486	.	0.0153846153846154	.	.	.
SCAMP1	ENST00000538629	.	0.0153846153846154	.	.	.
SCAPER	ENST00000563290	.	0.0153846153846154	.	.	.
SPTBN4	ENST00000352632	.	0.0153846153846154	.	.	.
TOP2B	ENST00000435706	.	0.0153846153846154	.	.	.
TRIO	ENST00000344204	.	0.0153846153846154	.	.	.
USP10	ENST00000219473	.	0.0153846153846154	.	.	.
YLPM1	ENST00000325680	.	0.0153846153846154	.	.	.
