gene	transcript	protein_change	score	pvalue	qvalue	info
ALB	ENST00000295897	.	.	0	0	.
AXIN1	ENST00000262320	.	.	0	0	.
TP53	ENST00000269305	.	.	0	0	.
CTNNB1	ENST00000349496	.	.	1.887379e-15	8.899936e-12	.
BAP1	ENST00000460680	.	.	4.996004e-15	1.884692e-11	.
RB1	ENST00000267163	.	.	2.400302e-13	7.545750e-10	.
ARID1A	ENST00000324856	.	.	6.655257e-08	1.793306e-04	.
KEAP1	ENST00000171111	.	.	7.757038e-08	1.828916e-04	.
RPS6KA3	ENST00000379565	.	.	1.908790e-07	4.000399e-04	.
LZTR1	ENST00000215739	.	.	9.043208e-07	1.705730e-03	.
ARID2	ENST00000334344	.	.	3.156980e-06	5.413359e-03	.
ACVR2A	ENST00000241416	.	.	4.635607e-06	7.286402e-03	.
EEF1A1	ENST00000316292	.	.	1.235414e-05	1.792491e-02	.
HNF1A	ENST00000257555	.	.	1.387703e-05	1.869633e-02	.
BRD7	ENST00000394689	.	.	1.781939e-05	2.240728e-02	.
IL6ST	ENST00000381298	.	.	2.355020e-05	2.776274e-02	.
CREB3L3	ENST00000078445	.	.	6.911138e-05	7.120695e-02	.
CDKN1A	ENST00000405375	.	.	7.043810e-05	7.120695e-02	.
CDKN2A	ENST00000498124	.	.	7.172792e-05	7.120695e-02	.
RASA1	ENST00000274376	.	.	1.435353e-04	1.338467e-01	.
APOB	ENST00000233242	.	.	1.490181e-04	1.338467e-01	.
RPL22	ENST00000234875	.	.	2.106764e-04	1.806263e-01	.
PTEN	ENST00000371953	.	.	3.355079e-04	2.751456e-01	.
CRIP3	ENST00000372569	.	.	3.569331e-04	2.805196e-01	.
CDKN1B	ENST00000228872	.	.	4.829801e-04	3.507787e-01	.
KRTAP22-1	ENST00000334680	.	.	4.835249e-04	3.507787e-01	.
DOCK2	ENST00000256935	.	.	7.725901e-04	5.397257e-01	.
HIST1H1E	ENST00000304218	.	.	8.757926e-04	5.899714e-01	.
RXRB	ENST00000374685	.	.	1.412083e-03	9.184382e-01	.
IDH1	ENST00000415913	.	.	1.939024e-03	1	.
KRTAP3-3	ENST00000391586	.	.	1.990422e-03	1	.
NRAS	ENST00000369535	.	.	2.011449e-03	1	.
DCDC1	ENST00000597505	.	.	2.032872e-03	1	.
CCDC53	ENST00000240079	.	.	2.153616e-03	1	.
UBE2D3	ENST00000357194	.	.	2.390415e-03	1	.
NFE2L2	ENST00000397062	.	.	2.399407e-03	1	.
ZNF716	ENST00000420713	.	.	2.548265e-03	1	.
CISH	ENST00000443053	.	.	2.876494e-03	1	.
LDOC1L	ENST00000341255	.	.	2.897329e-03	1	.
FILIP1	ENST00000237172	.	.	2.975367e-03	1	.
DEFB113	ENST00000398718	.	.	3.304724e-03	1	.
GJB1	ENST00000374022	.	.	3.535713e-03	1	.
EIF5A	ENST00000336452	.	.	4.047685e-03	1	.
IMPA1	ENST00000449740	.	.	4.238631e-03	1	.
BAX	ENST00000293288	.	.	4.342633e-03	1	.
FAM71C	ENST00000324341	.	.	4.453761e-03	1	.
IRF2	ENST00000393593	.	.	4.666061e-03	1	.
IRX1	ENST00000302006	.	.	4.689091e-03	1	.
FZR1	ENST00000395095	.	.	4.909666e-03	1	.
CFB	ENST00000456570	.	.	5.052340e-03	1	.
TF	ENST00000402696	.	.	5.711079e-03	1	.
MCM7	ENST00000303887	.	.	6.334374e-03	1	.
PPP2R4	ENST00000393370	.	.	6.636047e-03	1	.
PLP1	ENST00000418604	.	.	6.728962e-03	1	.
FGA	ENST00000302053	.	.	7.427282e-03	1	.
LCE1E	ENST00000368770	.	.	7.491713e-03	1	.
DAZAP1	ENST00000233078	.	.	7.599800e-03	1	.
SPRR4	ENST00000328051	.	.	7.666326e-03	1	.
SLC22A8	ENST00000336232	.	.	7.670433e-03	1	.
CSTB	ENST00000291568	.	.	7.684393e-03	1	.
SAA1	ENST00000405158	.	.	7.994158e-03	1	.
GABRG1	ENST00000295452	.	.	8.071891e-03	1	.
NFATC2	ENST00000609943	.	.	8.099029e-03	1	.
GOSR2	ENST00000225567	.	.	8.134169e-03	1	.
OR51G1	ENST00000321961	.	.	8.159862e-03	1	.
ZBTB9	ENST00000395064	.	.	8.259352e-03	1	.
KCTD20	ENST00000373731	.	.	8.345722e-03	1	.
CNPY2	ENST00000273308	.	.	8.771881e-03	1	.
NBEA	ENST00000400445	.	.	8.829878e-03	1	.
BTRC	ENST00000370187	.	.	8.885032e-03	1	.
TMEM128	ENST00000254742	.	.	9.406387e-03	1	.
GADL1	ENST00000282538	.	.	9.847800e-03	1	.
TSC2	ENST00000219476	.	.	9.877143e-03	1	.
CKS1B	ENST00000308987	.	.	1.004439e-02	1	.
PVRIG	ENST00000317271	.	.	1.017553e-02	1	.
PHGR1	ENST00000448599	.	.	1.021496e-02	1	.
GPS2	ENST00000380728	.	.	1.024482e-02	1	.
CIRBP	ENST00000588030	.	.	1.024607e-02	1	.
SLC30A8	ENST00000456015	.	.	1.037972e-02	1	.
C19orf48	ENST00000598463	.	.	1.060897e-02	1	.
NUP133	ENST00000261396	.	.	1.159898e-02	1	.
SLC30A1	ENST00000367001	.	.	1.176044e-02	1	.
KRAS	ENST00000256078	.	.	1.176866e-02	1	.
WDR38	ENST00000373574	.	.	1.177465e-02	1	.
KRTAP10-12	ENST00000400365	.	.	1.186701e-02	1	.
FBXO42	ENST00000375592	.	.	1.221316e-02	1	.
IFITM3	ENST00000399808	.	.	1.225754e-02	1	.
PTGR1	ENST00000538962	.	.	1.227137e-02	1	.
NLGN1	ENST00000457714	.	.	1.260269e-02	1	.
HIBCH	ENST00000359678	.	.	1.264312e-02	1	.
CCDC104	ENST00000349456	.	.	1.265480e-02	1	.
NF2	ENST00000338641	.	.	1.265765e-02	1	.
HMBS	ENST00000278715	.	.	1.278577e-02	1	.
IGDCC3	ENST00000327987	.	.	1.279728e-02	1	.
OR10G8	ENST00000431524	.	.	1.312439e-02	1	.
RAB18	ENST00000356940	.	.	1.316275e-02	1	.
KRTDAP	ENST00000338897	.	.	1.418454e-02	1	.
STK32B	ENST00000282908	.	.	1.454847e-02	1	.
EFNB2	ENST00000245323	.	.	1.486517e-02	1	.
TNNI2	ENST00000381906	.	.	1.500522e-02	1	.
FATE1	ENST00000370350	.	.	1.549239e-02	1	.
GABRA4	ENST00000264318	.	.	1.549891e-02	1	.
GJA8	ENST00000240986	.	.	1.554266e-02	1	.
TDG	ENST00000392872	.	.	1.568866e-02	1	.
TXN2	ENST00000216185	.	.	1.608474e-02	1	.
FAU	ENST00000529639	.	.	1.632760e-02	1	.
PLA2G4A	ENST00000367466	.	.	1.638393e-02	1	.
CACNA1E	ENST00000367573	.	.	1.649082e-02	1	.
MRPL22	ENST00000523037	.	.	1.682312e-02	1	.
SAMD12	ENST00000453675	.	.	1.697251e-02	1	.
STXBP3	ENST00000370008	.	.	1.700487e-02	1	.
HIST1H2AG	ENST00000359193	.	.	1.722318e-02	1	.
MCM9	ENST00000316316	.	.	1.730954e-02	1	.
CHURC1	ENST00000607599	.	.	1.755257e-02	1	.
DYRK1A	ENST00000398960	.	.	1.771736e-02	1	.
SCAMP4	ENST00000316097	.	.	1.777837e-02	1	.
CDA	ENST00000375071	.	.	1.783329e-02	1	.
EMP1	ENST00000256951	.	.	1.786488e-02	1	.
ELF3	ENST00000359651	.	.	1.801523e-02	1	.
ACAT2	ENST00000367048	.	.	1.819744e-02	1	.
TLX3	ENST00000296921	.	.	1.821306e-02	1	.
SUGT1	ENST00000343788	.	.	1.827077e-02	1	.
ZBED2	ENST00000317012	.	.	1.877020e-02	1	.
KIT	ENST00000288135	.	.	1.893587e-02	1	.
RCN2	ENST00000394885	.	.	1.937076e-02	1	.
CNGA3	ENST00000393504	.	.	1.942842e-02	1	.
BRSK1	ENST00000309383	.	.	1.945738e-02	1	.
LYZL6	ENST00000585556	.	.	1.964812e-02	1	.
ST8SIA6	ENST00000377602	.	.	1.966052e-02	1	.
MAOB	ENST00000378069	.	.	1.967970e-02	1	.
CCDC137	ENST00000329214	.	.	1.979439e-02	1	.
UPF3B	ENST00000276201	.	.	1.982301e-02	1	.
