gene	transcript	protein_change	score	pvalue	qvalue	info
B2M	ENST00000558401	.	.	0	0	.
NRAS	ENST00000369535	.	.	0	0	.
PEA15	ENST00000360472	.	.	0	0	.
PPP6C	ENST00000451402	.	.	0	0	.
PTEN	ENST00000371953	.	.	0	0	.
BRAF	ENST00000288602	.	.	6.661338e-16	2.094103e-12	.
TP53	ENST00000269305	.	.	1.221245e-15	3.290733e-12	.
CDKN2A	ENST00000498124	.	.	3.175238e-14	7.486417e-11	.
MAP2K1	ENST00000307102	.	.	7.618216e-06	1.596609e-02	.
DDX3X	ENST00000399959	.	.	9.756662e-05	1.840302e-01	.
CTNNB1	ENST00000349496	.	.	1.210987e-04	2.076512e-01	.
FAM19A1	ENST00000478136	.	.	2.280134e-04	3.583990e-01	.
RAC1	ENST00000356142	.	.	6.873769e-04	9.973310e-01	.
SPATA16	ENST00000351008	.	.	1.259366e-03	1	.
S100A8	ENST00000368733	.	.	1.908861e-03	1	.
LCE1B	ENST00000360090	.	.	2.614949e-03	1	.
HIST1H2AA	ENST00000297012	.	.	2.694758e-03	1	.
ARID2	ENST00000334344	.	.	2.796418e-03	1	.
EDN1	ENST00000379375	.	.	3.041101e-03	1	.
LUZP2	ENST00000336930	.	.	3.397072e-03	1	.
TCHHL1	ENST00000368806	.	.	5.597721e-03	1	.
VEGFC	ENST00000280193	.	.	5.663421e-03	1	.
RPL5	ENST00000370321	.	.	6.488236e-03	1	.
IGFL1	ENST00000437936	.	.	6.728415e-03	1	.
MKX	ENST00000375790	.	.	6.907629e-03	1	.
RQCD1	ENST00000273064	.	.	7.524476e-03	1	.
NF1	ENST00000358273	.	.	7.649075e-03	1	.
BRD7	ENST00000394689	.	.	8.146949e-03	1	.
CCDC90B	ENST00000529689	.	.	8.673282e-03	1	.
PTPN22	ENST00000359785	.	.	9.442399e-03	1	.
KRAS	ENST00000256078	.	.	9.492111e-03	1	.
BEST3	ENST00000331471	.	.	1.085273e-02	1	.
ZFX	ENST00000379177	.	.	1.104121e-02	1	.
SAA1	ENST00000405158	.	.	1.105170e-02	1	.
PARM1	ENST00000307428	.	.	1.186359e-02	1	.
MT4	ENST00000219162	.	.	1.228105e-02	1	.
KRTAP5-10	ENST00000398531	.	.	1.249801e-02	1	.
RBM46	ENST00000281722	.	.	1.325288e-02	1	.
PPP4R4	ENST00000304338	.	.	1.386416e-02	1	.
EYA4	ENST00000367895	.	.	1.486846e-02	1	.
TNFRSF8	ENST00000263932	.	.	1.503689e-02	1	.
LY6G6F	ENST00000375832	.	.	1.595099e-02	1	.
TNFAIP8L3	ENST00000327536	.	.	1.668095e-02	1	.
ACVR1C	ENST00000243349	.	.	1.670088e-02	1	.
COL5A2	ENST00000374866	.	.	2.061378e-02	1	.
WDR65	ENST00000528956	.	.	2.081551e-02	1	.
DEFB115	ENST00000400552	.	.	2.102325e-02	1	.
KRT26	ENST00000335552	.	.	2.126205e-02	1	.
KLF6	ENST00000497571	.	.	2.359891e-02	1	.
FAM58A	ENST00000406277	.	.	2.463782e-02	1	.
FAM90A1	ENST00000538603	.	.	2.484945e-02	1	.
UGT2B15	ENST00000338206	.	.	2.740981e-02	1	.
AMICA1	ENST00000356289	.	.	2.778363e-02	1	.
KLRK1	ENST00000240618	.	.	2.793716e-02	1	.
RB1	ENST00000267163	.	.	2.914036e-02	1	.
DEFB116	ENST00000400549	.	.	2.939945e-02	1	.
GML	ENST00000220940	.	.	2.980101e-02	1	.
KLHL23	ENST00000392647	.	.	2.998775e-02	1	.
ANKFN1	ENST00000318698	.	.	3.073341e-02	1	.
C16orf90	ENST00000437192	.	.	3.300979e-02	1	.
C8orf4	ENST00000315792	.	.	3.666640e-02	1	.
SPATA8	ENST00000328504	.	.	3.718450e-02	1	.
RLN3	ENST00000431365	.	.	3.747094e-02	1	.
MOG	ENST00000376898	.	.	3.782222e-02	1	.
PAIP2	ENST00000394795	.	.	3.836507e-02	1	.
