gene	transcript	protein_change	score	pvalue	qvalue	info
AP1S1	ENST00000337619	.	.	0	0	.
CCND1	ENST00000227507	.	.	0	0	.
CTCF	ENST00000264010	.	.	0	0	.
CTNNB1	ENST00000349496	.	.	0	0	.
ESRP1	ENST00000433389	.	.	0	0	.
KLF3	ENST00000261438	.	.	0	0	.
LMAN1	ENST00000251047	.	.	0	0	.
PRRG1	ENST00000542554	.	.	0	0	.
PTEN	ENST00000371953	.	.	0	0	.
RNF43	ENST00000584437	.	.	0	0	.
RPL22	ENST00000234875	.	.	0	0	.
SPOP	ENST00000393331	.	.	0	0	.
TP53	ENST00000269305	.	.	0	0	.
ACVR2A	ENST00000241416	.	.	8.881784e-16	1.196630e-12	.
PIK3CA	ENST00000263967	.	.	1.110223e-15	1.396068e-12	.
ARID1A	ENST00000324856	.	.	2.886580e-15	3.202745e-12	.
FBXW7	ENST00000281708	.	.	2.886580e-15	3.202745e-12	.
INPPL1	ENST00000298229	.	.	3.774758e-15	3.955527e-12	.
PIK3R1	ENST00000521381	.	.	4.218847e-15	4.188205e-12	.
PPP2R1A	ENST00000322088	.	.	5.218048e-15	4.921141e-12	.
CHD4	ENST00000357008	.	.	1.395550e-13	1.253470e-10	.
ARID5B	ENST00000279873	.	.	2.654987e-12	2.276290e-09	.
FOXA2	ENST00000419308	.	.	5.591638e-12	4.585630e-09	.
JAK1	ENST00000342505	.	.	1.298361e-11	1.020404e-08	.
SETD1B	ENST00000267197	.	.	3.789693e-08	2.859248e-05	.
MFRP	ENST00000555262	.	.	1.851693e-07	1.343332e-04	.
CD93	ENST00000246006	.	.	2.397204e-07	1.674669e-04	.
RB1	ENST00000267163	.	.	1.003059e-06	6.757035e-04	.
DYRK1A	ENST00000398960	.	.	1.326456e-06	8.627452e-04	.
TAF1	ENST00000276072	.	.	3.546584e-06	2.229855e-03	.
PAX6	ENST00000419022	.	.	4.402102e-06	2.678466e-03	.
SIN3A	ENST00000394947	.	.	4.585448e-06	2.702835e-03	.
TCERG1	ENST00000296702	.	.	8.678089e-06	4.960185e-03	.
MBD6	ENST00000355673	.	.	1.006764e-05	5.585169e-03	.
FGFR2	ENST00000457416	.	.	1.075502e-05	5.795670e-03	.
DOCK3	ENST00000266037	.	.	1.106161e-05	5.795670e-03	.
C11orf57	ENST00000393047	.	.	1.286566e-05	6.558704e-03	.
ZBTB20	ENST00000474710	.	.	2.189781e-05	1.086938e-02	.
SOX17	ENST00000297316	.	.	2.459839e-05	1.189679e-02	.
ZFHX3	ENST00000268489	.	.	3.004819e-05	1.416922e-02	.
