gene	transcript	protein_change	score	pvalue	qvalue	info
USP9X	ENST00000324545	.	.	1.46010950776e-08	5.84043803103e-08	.
GPS2	ENST00000380728	.	.	1.46010950776e-08	5.84043803103e-08	.
ROR1	ENST00000371079	.	.	1.46010950776e-08	5.84043803103e-08	.
SCLY	ENST00000254663	.	.	1.46010950776e-08	5.84043803103e-08	.
FBN2	ENST00000508053	.	.	1.46010950776e-08	5.84043803103e-08	.
LAMA3	ENST00000313654	.	.	1.46010950776e-08	5.84043803103e-08	.
TPRN	ENST00000409012	.	.	1.46010950776e-08	5.84043803103e-08	.
PHKA1	ENST00000373542	.	.	1.46010950776e-08	5.84043803103e-08	.
IDH1	ENST00000415913	.	.	1.46010950776e-08	5.84043803103e-08	.
GPR98	ENST00000405460	.	.	1.46010950776e-08	5.84043803103e-08	.
UBR1	ENST00000290650	.	.	1.46010950776e-08	5.84043803103e-08	.
CGGBP1	ENST00000398392	.	.	1.46010950776e-08	5.84043803103e-08	.
WDR92	ENST00000295121	.	.	1.46010950776e-08	5.84043803103e-08	.
GRIK2	ENST00000421544	.	.	1.46010950776e-08	5.84043803103e-08	.
ZNF100	ENST00000358296	.	.	1.46010950776e-08	5.84043803103e-08	.
NYAP2	ENST00000272907	.	.	1.46010950776e-08	5.84043803103e-08	.
TTN	ENST00000589042	.	.	1.35635802398e-06	5.10628903146e-06	.
RABGAP1	ENST00000373647	.	.	4.94264277727e-06	1.58164568873e-05	.
KMT2D	ENST00000301067	.	.	4.94264277727e-06	1.58164568873e-05	.
THOC5	ENST00000490103	.	.	4.94264277727e-06	1.58164568873e-05	.
FMN2	ENST00000319653	.	.	3.06574651774e-05	8.17532404732e-05	.
MUC5B	ENST00000529681	.	.	3.06574651774e-05	8.17532404732e-05	.
RYR1	ENST00000359596	.	.	3.06574651774e-05	8.17532404732e-05	.
DNAH5	ENST00000265104	.	.	3.06574651774e-05	8.17532404732e-05	.
BAP1	ENST00000460680	.	.	0.000145559599658	0.000372632575124	.
OBSCN	ENST00000570156	.	.	0.00143162016715	0.00150202771635	.
COL6A3	ENST00000295550	.	.	0.00143162016715	0.00150202771635	.
DOCK2	ENST00000256935	.	.	0.00143162016715	0.00150202771635	.
EP400	ENST00000389561	.	.	0.00143162016715	0.00150202771635	.
ADAM30	ENST00000369400	.	.	0.00143162016715	0.00150202771635	.
EML5	ENST00000554922	.	.	0.00143162016715	0.00150202771635	.
KIF19	ENST00000389916	.	.	0.00143162016715	0.00150202771635	.
PKHD1L1	ENST00000378402	.	.	0.00143162016715	0.00150202771635	.
CHD7	ENST00000423902	.	.	0.00143162016715	0.00150202771635	.
SLC9A3	ENST00000264938	.	.	0.00143162016715	0.00150202771635	.
PIK3CA	ENST00000263967	.	.	0.00143162016715	0.00150202771635	.
AHNAK	ENST00000378024	.	.	0.00143162016715	0.00150202771635	.
CXorf57	ENST00000372548	.	.	0.00143162016715	0.00150202771635	.
OTX2	ENST00000339475	.	.	0.00143162016715	0.00150202771635	.
HMGCL	ENST00000374490	.	.	0.00143162016715	0.00150202771635	.
PCLO	ENST00000333891	.	.	0.00143162016715	0.00150202771635	.
BRWD3	ENST00000373275	.	.	0.00143162016715	0.00150202771635	.
ZYX	ENST00000322764	.	.	0.00143162016715	0.00150202771635	.
MPDZ	ENST00000541718	.	.	0.00143162016715	0.00150202771635	.
N4BP2	ENST00000261435	.	.	0.00143162016715	0.00150202771635	.
TRAF4	ENST00000262395	.	.	0.00143162016715	0.00150202771635	.
SCN8A	ENST00000354534	.	.	0.00143162016715	0.00150202771635	.
FBN3	ENST00000600128	.	.	0.00143162016715	0.00150202771635	.
SIGLEC10	ENST00000356298	.	.	0.00143162016715	0.00150202771635	.
MUC16	ENST00000397910	.	.	0.00143162016715	0.00150202771635	.
FGFR2	ENST00000457416	.	.	0.00143162016715	0.00150202771635	.
DNAH2	ENST00000572933	.	.	0.00143162016715	0.00150202771635	.
MAGEC1	ENST00000285879	.	.	0.00143162016715	0.00150202771635	.
LRP1	ENST00000243077	.	.	0.00143162016715	0.00150202771635	.
TP53	ENST00000269305	.	.	0.00143162016715	0.00150202771635	.
CTNNA2	ENST00000466387	.	.	0.00143162016715	0.00150202771635	.
PLXNA4	ENST00000359827	.	.	0.00143162016715	0.00150202771635	.
ARFGAP2	ENST00000524782	.	.	0.00143162016715	0.00150202771635	.
VWF	ENST00000261405	.	.	0.00143162016715	0.00150202771635	.
PTCH1	ENST00000331920	.	.	0.00143162016715	0.00150202771635	.
DNAH8	ENST00000359357	.	.	0.00143162016715	0.00150202771635	.
PBRM1	ENST00000394830	.	.	0.0122419228076	0.0126368235433	.
EPHA2	ENST00000358432	.	.	0.0445654627585	0.0445654627585	.
KMT2C	ENST00000262189	.	.	0.0445654627585	0.0445654627585	.
