gene	transcript	protein_change	score	pvalue	qvalue	info
CCNT1	ENST00000261900	.	.	1.46010950776e-08	4.90179620461e-08	.
SCN2A	ENST00000357398	.	.	1.46010950776e-08	4.90179620461e-08	.
IDH2	ENST00000330062	.	.	1.46010950776e-08	4.90179620461e-08	.
ADIG	ENST00000470147	.	.	1.46010950776e-08	4.90179620461e-08	.
ACSL3	ENST00000357430	.	.	1.46010950776e-08	4.90179620461e-08	.
NCAPH	ENST00000240423	.	.	1.46010950776e-08	4.90179620461e-08	.
ITIH5	ENST00000256861	.	.	1.46010950776e-08	4.90179620461e-08	.
ADAM20	ENST00000256389	.	.	1.46010950776e-08	4.90179620461e-08	.
TAS2R3	ENST00000247879	.	.	1.46010950776e-08	4.90179620461e-08	.
PCDHA10	ENST00000307360	.	.	1.46010950776e-08	4.90179620461e-08	.
SLCO1B7	ENST00000421593	.	.	1.46010950776e-08	4.90179620461e-08	.
NAA35	ENST00000361671	.	.	1.46010950776e-08	4.90179620461e-08	.
SNRNP48	ENST00000342415	.	.	1.46010950776e-08	4.90179620461e-08	.
NKTR	ENST00000232978	.	.	1.46010950776e-08	4.90179620461e-08	.
IDH1	ENST00000415913	.	.	1.73856552967e-07	5.44750532631e-07	.
ABCA6	ENST00000284425	.	.	4.73249843057e-07	1.39017141398e-06	.
CNTNAP4	ENST00000478060	.	.	1.00353621106e-05	2.77448246588e-05	.
ZCRB1	ENST00000266529	.	.	3.06574651774e-05	7.58368875442e-05	.
U2AF1	ENST00000291552	.	.	3.06574651774e-05	7.58368875442e-05	.
PTPDC1	ENST00000375360	.	.	0.000145559599658	0.000325776246853	.
GOLM1	ENST00000388712	.	.	0.000145559599658	0.000325776246853	.
GOLGA4	ENST00000356847	.	.	0.00143162016715	0.00203897417745	.
C17orf47	ENST00000321691	.	.	0.00143162016715	0.00203897417745	.
KIT	ENST00000288135	.	.	0.00143162016715	0.00203897417745	.
FAM122C	ENST00000370784	.	.	0.00143162016715	0.00203897417745	.
XIRP2	ENST00000409195	.	.	0.00143162016715	0.00203897417745	.
FLT1	ENST00000282397	.	.	0.00143162016715	0.00203897417745	.
TNFSF10	ENST00000241261	.	.	0.00143162016715	0.00203897417745	.
RBM11	ENST00000400577	.	.	0.00143162016715	0.00203897417745	.
KIF21A	ENST00000361418	.	.	0.00143162016715	0.00203897417745	.
VWA3B	ENST00000477737	.	.	0.00143162016715	0.00203897417745	.
SF3B1	ENST00000335508	.	.	0.00143162016715	0.00203897417745	.
PKD2	ENST00000237596	.	.	0.00143162016715	0.00203897417745	.
SCLT1	ENST00000281142	.	.	0.0067701933205	0.00909140245896	.
BRWD1	ENST00000333229	.	.	0.0067701933205	0.00909140245896	.
KRAS	ENST00000256078	.	.	0.0156480798938	0.0204294376392	.
SMG7	ENST00000507469	.	.	0.0445654627585	0.0487110872012	.
TCF12	ENST00000438423	.	.	0.0445654627585	0.0487110872012	.
DNAH3	ENST00000261383	.	.	0.0445654627585	0.0487110872012	.
PRDM1	ENST00000369096	.	.	0.0445654627585	0.0487110872012	.
ALDH7A1	ENST00000409134	.	.	0.0445654627585	0.0487110872012	.
VPS13B	ENST00000358544	.	.	0.0445654627585	0.0487110872012	.
ANK2	ENST00000506722	.	.	0.0445654627585	0.0487110872012	.
KIF1B	ENST00000263934	.	.	0.175986474596	0.18798555241	.
FLT3	ENST00000241453	.	.	0.230117015516	0.240344438427	.
DNMT3A	ENST00000264709	.	.	0.337992305936	0.345339964761	.
TP53	ENST00000269305	.	.	0.728304217095	0.728304217095	.
