gene	transcript	protein_change	score	pvalue	qvalue	info
IDH1	ENST00000415913	.	.	7.92038887141076e-39	2.85530018814358e-35	.
EGFR	ENST00000275493	.	.	2.59825392632721e-36	4.68335270220479e-33	.
AHNAK	ENST00000378024	.	.	6.69976663558038e-11	8.05088624042243e-08	.
BRAF	ENST00000288602	.	.	1.13056767760945e-08	1.01892411944552e-05	.
CCDC88C	ENST00000389857	.	.	1.51132368909825e-06	0.00108966437983984	.
ZNF609	ENST00000326648	.	.	4.5541713128105e-06	0.00273629793044697	.
PDS5A	ENST00000303538	.	.	1.01354952742553e-05	0.00521978006624145	.
PHLDB2	ENST00000431670	.	.	1.7920121338583e-05	0.00807525467819895	.
MDC1	ENST00000376406	.	.	2.79049258976543e-05	0.0110442766767022	.
NCOA1	ENST00000406961	.	.	3.06359963292711e-05	0.0110442766767022	.
ERC2	ENST00000288221	.	.	7.24309604599867e-05	0.0237376011325684	.
AHNAK2	ENST00000333244	.	.	8.23626776171756e-05	0.0247431210674932	.
CHD7	ENST00000423902	.	.	9.45099832395251e-05	0.0249912655673106	.
OGG1	ENST00000302036	.	.	9.70534585138274e-05	0.0249912655673106	.
ABCG2	ENST00000237612	.	.	0.000165468471927094	0.0397675894198116	.
CDCP1	ENST00000296129	.	.	0.00019598379026908	0.0441575977450021	.
DLG5	ENST00000372391	.	.	0.000277369452885361	0.0499958438825863	.
LRP2	ENST00000263816	.	.	0.000269117666260701	0.0499958438825863	.
TNS3	ENST00000398879	.	.	0.000264875420795071	0.0499958438825863	.
TYK2	ENST00000525621	.	.	0.000251764372275342	0.0499958438825863	.
MYOM2	ENST00000262113	.	.	0.000308656285684236	0.0529859957091272	.
HGS	ENST00000329138	.	.	0.000367366137431783	0.0601979511564353	.
DENND4C	ENST00000602925	.	.	0.000407383768491819	0.0638529776266526	.
AFF3	ENST00000356421	.	.	0.000848113283148661	0.0664662692554549	.
CDC23	ENST00000394886	.	.	0.000816107453503641	0.0664662692554549	.
CHD8	ENST00000399982	.	.	0.0008411739709217	0.0664662692554549	.
EPPK1	ENST00000525985	.	.	0.000804452763131782	0.0664662692554549	.
GATA4	ENST00000335135	.	.	0.000570518937617331	0.0664662692554549	.
IFI16	ENST00000368131	.	.	0.000753056068347682	0.0664662692554549	.
KIDINS220	ENST00000256707	.	.	0.000526997733736055	0.0664662692554549	.
KRT13	ENST00000246635	.	.	0.000698115036989732	0.0664662692554549	.
MPO	ENST00000225275	.	.	0.00069522537577382	0.0664662692554549	.
MYC	ENST00000377970	.	.	0.000570518936862431	0.0664662692554549	.
NRAS	ENST00000369535	.	.	0.000781141361355441	0.0664662692554549	.
OBSCN	ENST00000570156	.	.	0.000831103182607464	0.0664662692554549	.
PDHA2	ENST00000295266	.	.	0.000617797317111782	0.0664662692554549	.
PSME4	ENST00000404125	.	.	0.000662753510647323	0.0664662692554549	.
PTPN11	ENST00000351677	.	.	0.000593861864144788	0.0664662692554549	.
RIPK1	ENST00000259808	.	.	0.000726243022855352	0.0664662692554549	.
RPL10L	ENST00000298283	.	.	0.000717291012002062	0.0664662692554549	.
SALL4	ENST00000217086	.	.	0.000462163607563627	0.0664662692554549	.
TACC2	ENST00000369005	.	.	0.000746174558985193	0.0664662692554549	.
TNS1	ENST00000171887	.	.	0.000695225380856768	0.0664662692554549	.
XIRP1	ENST00000340369	.	.	0.00065166360036112	0.0664662692554549	.
YEATS2	ENST00000305135	.	.	0.000654473016348732	0.0664662692554549	.
ZNF674	ENST00000523374	.	.	0.000474310648084106	0.0664662692554549	.
ZC3H13	ENST00000282007	.	.	0.000885560436368034	0.0679243696405694	.
CDCA2	ENST00000330560	.	.	0.00115797176565884	0.0684342330360677	.
DHX9	ENST00000367549	.	.	0.000990366733560141	0.0684342330360677	.
DPCR1	ENST00000462446	.	.	0.00103728886907518	0.0684342330360677	.
GPRC6A	ENST00000310357	.	.	0.0011178155717112	0.0684342330360677	.
MYH8	ENST00000403437	.	.	0.00115084783701818	0.0684342330360677	.
MYH9	ENST00000216181	.	.	0.00109298752921193	0.0684342330360677	.
NEFL	ENST00000221169	.	.	0.00110892902076165	0.0684342330360677	.
PDE1C	ENST00000396193	.	.	0.00114220107343435	0.0684342330360677	.
PLEKHA7	ENST00000355661	.	.	0.00101701768899399	0.0684342330360677	.
QARS	ENST00000306125	.	.	0.00103728885884836	0.0684342330360677	.
SASH1	ENST00000367467	.	.	0.001051683549296	0.0684342330360677	.
SPEN	ENST00000375759	.	.	0.00114492889232899	0.0684342330360677	.
STAT1	ENST00000361099	.	.	0.000992733493609504	0.0684342330360677	.
ZMYND8	ENST00000461685	.	.	0.00104821801283151	0.0684342330360677	.
ROCK2	ENST00000315872	.	.	0.0012170002696486	0.0707626769690839	.
HDLBP	ENST00000391975	.	.	0.0012698033288794	0.0720674620859602	.
LRRC8A	ENST00000259324	.	.	0.00127942235048584	0.0720674620859602	.
ARHGEF17	ENST00000263674	.	.	0.00138303279561801	0.0723509234795041	.
CADM1	ENST00000452722	.	.	0.00145258759564523	0.0723509234795041	.
CDKL5	ENST00000379989	.	.	0.00146460380025334	0.0723509234795041	.
CGN	ENST00000271636	.	.	0.00136964482160649	0.0723509234795041	.
DENND1A	ENST00000373624	.	.	0.00146508099833746	0.0723509234795041	.
