gene	transcript	protein_change	score	pvalue	qvalue	info
VHL	ENST00000256474	.	.	.	0.000177320129589723	.
TP53	ENST00000269305	.	.	.	0.000177320129589723	.
MAPK9	ENST00000452135	.	.	.	0.00108895420759806	.
NOS2	ENST00000313735	.	.	.	0.00155624490204627	.
GALNT5	ENST00000259056	.	.	.	0.00174399562749422	.
RHOA	ENST00000418115	.	.	.	0.00189211008868093	.
PIK3CA	ENST00000263967	.	.	.	0.00208403305247216	.
ATP6V0E1	ENST00000519374	.	.	.	0.00314795383001049	.
SOS2	ENST00000216373	.	.	.	0.00432661116198924	.
ATM	ENST00000278616	.	.	.	0.00537384298615443	.
GLB1	ENST00000307363	.	.	.	0.0059058033749236	.
PTEN	ENST00000371953	.	.	.	0.00695929355660371	.
IMPA1	ENST00000449740	.	.	.	0.00715747487790988	.
VAV2	ENST00000371850	.	.	.	0.00726595307483535	.
EP300	ENST00000263253	.	.	.	0.00822139565544821	.
PPARG	ENST00000287820	.	.	.	0.00885348976445628	.
CAMK2A	ENST00000398376	.	.	.	0.00894319288883697	.
PRKDC	ENST00000314191	.	.	.	0.00898074303392656	.
ATP6AP1	ENST00000369762	.	.	.	0.0102386728944278	.
EXT1	ENST00000378204	.	.	.	0.0103221176612935	.
HSP90AA1	ENST00000334701	.	.	.	0.0113693494854587	.
ARF6	ENST00000298316	.	.	.	0.0119513767343473	.
ATP6V1B2	ENST00000276390	.	.	.	0.0119951852369518	.
PRKG1	ENST00000401604	.	.	.	0.0123498254961313	.
LIPC	ENST00000356113	.	.	.	0.0129172499108184	.
HMGCS1	ENST00000325110	.	.	.	0.0152140671187982	.
NUP160	ENST00000378460	.	.	.	0.0162508683471052	.
SOS1	ENST00000426016	.	.	.	0.0166534893472325	.
SUCLA2	ENST00000378654	.	.	.	0.0167953454509042	.
EHHADH	ENST00000231887	.	.	.	0.0168704457410834	.
CDKN2A	ENST00000498124	.	.	.	0.0173189613629868	.
PIK3R2	ENST00000222254	.	.	.	0.0175484344718676	.
PLCB2	ENST00000260402	.	.	.	0.0178050271299798	.
PLA2G6	ENST00000332509	.	.	.	0.0182952651353161	.
PRKACG	ENST00000377276	.	.	.	0.0213660325559758	.
GRIN2B	ENST00000609686	.	.	.	0.0219501459240361	.
LAMB1	ENST00000222399	.	.	.	0.0231267171368432	.
POLR2J	ENST00000292614	.	.	.	0.0231267171368432	.
ACSL6	ENST00000379264	.	.	.	0.0231267171368432	.
ROCK1	ENST00000399799	.	.	.	0.0233541041265523	.
ADRB2	ENST00000305988	.	.	.	0.025177372282569	.
OR7G2	ENST00000305456	.	.	.	0.0260806618838908	.
PRKCA	ENST00000413366	.	.	.	0.0266772919669809	.
FBXW11	ENST00000265094	.	.	.	0.0268608704540856	.
ERBB4	ENST00000342788	.	.	.	0.0273490223402502	.
NDUFS1	ENST00000455934	.	.	.	0.0278663798948179	.
PRKCD	ENST00000394729	.	.	.	0.0280332694285494	.
PRKACB	ENST00000370685	.	.	.	0.0282293646306839	.
RPL26L1	ENST00000521476	.	.	.	0.0295644809005359	.
TTN	ENST00000589042	.	.	.	0.0298857432529691	.
PPP3CC	ENST00000397775	.	.	.	0.0314127824866123	.
NOD2	ENST00000300589	.	.	.	0.0316339111188066	.
MAX	ENST00000358664	.	.	.	0.033271514668547	.
PIP5K1C	ENST00000335312	.	.	.	0.033271514668547	.
SYNJ1	ENST00000433931	.	.	.	0.0334738682281964	.
IKBKG	ENST00000369609	.	.	.	0.0337242025287937	.
MAP3K8	ENST00000263056	.	.	.	0.0337242025287937	.
PLCE1	ENST00000371380	.	.	.	0.0352428972857503	.
PRPS1L1	ENST00000506618	.	.	.	0.0361378424103855	.
RPL24	ENST00000394077	.	.	.	0.0370682515609387	.
NUP205	ENST00000285968	.	.	.	0.0377671014834393	.
PTK2	ENST00000340930	.	.	.	0.0380675026441561	.
POLD2	ENST00000406581	.	.	.	0.0383074063488951	.
CARD11	ENST00000396946	.	.	.	0.0396028863544859	.
TCEB1	ENST00000518127	.	.	.	0.0400910382406505	.
GOT2	ENST00000245206	.	.	.	0.0406647210128526	.
MET	ENST00000318493	.	.	.	0.0420895404070853	.
TNFRSF1A	ENST00000162749	.	.	.	0.0451206715634837	.
CLTC	ENST00000269122	.	.	.	0.0457131294082306	.
SMARCA4	ENST00000429416	.	.	.	0.0457131294082306	.
POLR2A	ENST00000322644	.	.	.	0.0463681708281267	.
TSC2	ENST00000219476	.	.	.	0.0470357289630527	.
XPO1	ENST00000401558	.	.	.	0.0484960123832034	.
RANBP2	ENST00000283195	.	.	.	0.0496725835960105	.
LAMA3	ENST00000313654	.	.	.	0.0496725835960105	.
FGFR1	ENST00000425967	.	.	.	0.0496725835960105	.
COL1A2	ENST00000297268	.	.	.	0.0520841373584307	.
KRAS	ENST00000256078	.	.	.	0.0520841373584307	.
PRKCB	ENST00000303531	.	.	.	0.0541347925041566	.
CREBBP	ENST00000262367	.	.	.	0.0545436718617988	.
GNA14	ENST00000341700	.	.	.	0.0554594781781504	.
GUSB	ENST00000304895	.	.	.	0.0568175417588905	.
IKBKB	ENST00000520810	.	.	.	0.0568175417588905	.
DHCR24	ENST00000371269	.	.	.	0.0582110693655486	.
ATP6V1D	ENST00000216442	.	.	.	0.0592478705938555	.
PDGFRA	ENST00000257290	.	.	.	0.0592478705938555	.
