gene	transcript	protein_change	score	pvalue	qvalue	info
KRAS	ENST00000256078	.	.	.	0	.
STT3A	ENST00000392708	.	.	.	0.000639316268075406	.
ATP6V1H	ENST00000359530	.	.	.	0.00165717506330072	.
SOS1	ENST00000426016	.	.	.	0.00312928489110593	.
BCAT1	ENST00000539282	.	.	.	0.00426491247255567	.
KIT	ENST00000288135	.	.	.	0.00478645995440666	.
HSPA8	ENST00000534624	.	.	.	0.00708295128578278	.
SMPD3	ENST00000219334	.	.	.	0.00872330223676573	.
COX4I2	ENST00000376075	.	.	.	0.0101701758960943	.
MDM2	ENST00000462284	.	.	.	0.010414125524702	.
GRID2	ENST00000282020	.	.	.	0.0121049488126383	.
RAC1	ENST00000356142	.	.	.	0.0132826366748824	.
CREBBP	ENST00000262367	.	.	.	0.0135265863034902	.
CEL	ENST00000372080	.	.	.	0.0142163749085189	.
TNFRSF1A	ENST00000162749	.	.	.	0.0182709859771024	.
BCL2L1	ENST00000307677	.	.	.	0.0185569958865045	.
BCL2	ENST00000398117	.	.	.	0.0211899694642361	.
EGFR	ENST00000275493	.	.	.	0.0211899694642361	.
PIK3CD	ENST00000377346	.	.	.	0.0223003608772092	.
SYNJ2	ENST00000355585	.	.	.	0.0239070636035566	.
NRAS	ENST00000369535	.	.	.	0.0275158356957191	.
PLCZ1	ENST00000266505	.	.	.	0.0288533526249821	.
ECHS1	ENST00000368547	.	.	.	0.030274990115834	.
AKT1	ENST00000554581	.	.	.	0.0341192997804453	.
RAP1B	ENST00000250559	.	.	.	0.0354315805412317	.
ENO2	ENST00000535366	.	.	.	0.0363064343817559	.
SDHD	ENST00000375549	.	.	.	0.0373663534577757	.
ARSB	ENST00000264914	.	.	.	0.0400666234847784	.
JAM3	ENST00000299106	.	.	.	0.0443147118450163	.
POLR2B	ENST00000381227	.	.	.	0.0531810190364831	.
GNB1	ENST00000378609	.	.	.	0.0531810190364831	.
DGKI	ENST00000288490	.	.	.	0.0547036012012416	.
CNDP1	ENST00000358821	.	.	.	0.0575132279583098	.
TCEA1	ENST00000521604	.	.	.	0.0590021618984328	.
OR10G4	ENST00000320891	.	.	.	0.0596667143349849	.
GRIN2B	ENST00000609686	.	.	.	0.060406975276967	.
GAPDHS	ENST00000222286	.	.	.	0.0667749017892443	.
SMAD4	ENST00000342988	.	.	.	0.0701313121966402	.
MYH6	ENST00000405093	.	.	.	0.0729157027852318	.
MYLK2	ENST00000375994	.	.	.	0.073866265131186	.
EDA	ENST00000374552	.	.	.	0.073866265131186	.
RDH10	ENST00000240285	.	.	.	0.0748000033648225	.
ATP6V0D1	ENST00000290949	.	.	.	0.0766843039444131	.
SRCAP	ENST00000262518	.	.	.	0.0823624418516618	.
CPS1	ENST00000430249	.	.	.	0.086215163572432	.
PIK3CA	ENST00000263967	.	.	.	0.0876031528386483	.
JAK2	ENST00000381652	.	.	.	0.0876031528386483	.
DNM2	ENST00000389253	.	.	.	0.0902529505286977	.
POLR2K	ENST00000353107	.	.	.	0.0945010388889356	.
ETS1	ENST00000392668	.	.	.	0.0945010388889356	.
IFNG	ENST00000229135	.	.	.	0.0979079216332848	.
POLR2C	ENST00000219252	.	.	.	0.0979079216332848	.
DNMT1	ENST00000359526	.	.	.	0.0997669860443988	.
CHEK1	ENST00000534070	.	.	.	0.0997669860443988	.
ITPR2	ENST00000381340	.	.	.	0.101457809332335	.
MAPK11	ENST00000330651	.	.	.	0.103098160283318	.
MC4R	ENST00000299766	.	.	.	0.103098160283318	.
CDH13	ENST00000268613	.	.	.	0.103098160283318	.
ARHGAP10	ENST00000336498	.	.	.	0.103098160283318	.
CLTA	ENST00000242285	.	.	.	0.104797395627413	.
IRAK4	ENST00000448290	.	.	.	0.104797395627413	.
MAN1B1	ENST00000371589	.	.	.	0.106631223870051	.
VAV2	ENST00000371850	.	.	.	0.106631223870051	.
DNM1L	ENST00000549701	.	.	.	0.106631223870051	.
PVRL1	ENST00000264025	.	.	.	0.112057000092533	.
RPL22	ENST00000234875	.	.	.	0.115867661532508	.
HRH3	ENST00000340177	.	.	.	0.115867661532508	.
HSP90B1	ENST00000299767	.	.	.	0.118021147909183	.
GNAS	ENST00000371100	.	.	.	0.120149398117382	.
MAPK1	ENST00000215832	.	.	.	0.1225804823473	.
PRKACG	ENST00000377276	.	.	.	0.124919033959471	.
CPSF1	ENST00000349769	.	.	.	0.124919033959471	.
NDUFA4	ENST00000339600	.	.	.	0.127282821740118	.
WNT5B	ENST00000397196	.	.	.	0.127282821740118	.
POLR2L	ENST00000322028	.	.	.	0.129772790363148	.
RIPK2	ENST00000220751	.	.	.	0.132262758986179	.
GRIK3	ENST00000373091	.	.	.	0.132262758986179	.
GRK1	ENST00000335678	.	.	.	0.135038737518612	.
SMURF1	ENST00000361125	.	.	.	0.135038737518612	.
LYN	ENST00000519728	.	.	.	0.135038737518612	.
HCK	ENST00000375852	.	.	.	0.137427761467736	.
TYMP	ENST00000395681	.	.	.	0.14351809012677	.
CXCL6	ENST00000226317	.	.	.	0.14351809012677	.
PRKG1	ENST00000401604	.	.	.	0.146336128939997	.
TCIRG1	ENST00000265686	.	.	.	0.146336128939997	.
MYH10	ENST00000360416	.	.	.	0.146336128939997	.
MAGOHB	ENST00000320756	.	.	.	0.149650479066598	.
POLA1	ENST00000379059	.	.	.	0.149650479066598	.
DRD2	ENST00000362072	.	.	.	0.156380123993708	.
RPS20	ENST00000519807	.	.	.	0.159803830850375	.
ACACA	ENST00000353139	.	.	.	0.167980349436813	.
SOCS4	ENST00000395472	.	.	.	0.167980349436813	.
MAP3K2	ENST00000409947	.	.	.	0.167980349436813	.
PTBP1	ENST00000356948	.	.	.	0.176476526157289	.
EP300	ENST00000263253	.	.	.	0.176476526157289	.
FLNA	ENST00000369850	.	.	.	0.176476526157289	.
CSNK2A1	ENST00000217244	.	.	.	0.18138075489792	.
PPP2R1B	ENST00000311129	.	.	.	0.18138075489792	.
