gene	transcript	protein_change	score	pvalue	qvalue	info
CDC42	ENST00000344548	.	11.1352510412168	.	.	.
TP53	ENST00000269305	.	8.86271553906054	.	.	.
NOTCH3	ENST00000263388	.	6.29309711366811	.	.	.
CREBBP	ENST00000262367	.	5.53422504543243	.	.	.
GNB1	ENST00000378609	.	4.96672315448757	.	.	.
JUNB	ENST00000302754	.	3.69556380598108	.	.	.
MICAL1	ENST00000358807	.	1.95888554627351	.	.	.
HLA-B	ENST00000412585	.	1.08223355206297	.	.	.
HIST2H2BE	ENST00000369155	.	1.02775155780189	.	.	.
TYRP1	ENST00000388918	.	0.739343907034324	.	.	.
PTPN6	ENST00000456013	.	0.673432230114324	.	.	.
B2M	ENST00000558401	.	0.631234057664595	.	.	.
ACTG1	ENST00000575842	.	0.581690254102703	.	.	.
HIST3H3	ENST00000366696	.	0.41351363229	.	.	.
PLXNA4	ENST00000359827	.	0.324542964175135	.	.	.
ACTB	ENST00000331789	.	0.245475165298919	.	.	.
PLXNB3	ENST00000538966	.	0.243659440297027	.	.	.
SP1	ENST00000327443	.	0.186431644453514	.	.	.
PAX5	ENST00000358127	.	0.183253500459459	.	.	.
ACTA1	ENST00000366684	.	0.176289864311622	.	.	.
ITGAX	ENST00000268296	.	0.165660593228108	.	.	.
CIITA	ENST00000324288	.	0.158890471357297	.	.	.
DDX3X	ENST00000399959	.	0.146189323851081	.	.	.
CR2	ENST00000367057	.	0.114342338584865	.	.	.
CD2	ENST00000369478	.	0.108308498374054	.	.	.
CD58	ENST00000369489	.	0.106420648194595	.	.	.
HIST1H1B	ENST00000331442	.	0.0998927622562162	.	.	.
NOTCH2	ENST00000256646	.	0.0983677368927027	.	.	.
HDAC2	ENST00000519065	.	0.0920391191116216	.	.	.
GRB2	ENST00000392562	.	0.0916866448491892	.	.	.
CD79A	ENST00000221972	.	0.0845772323745946	.	.	.
USP7	ENST00000344836	.	0.0637424161264865	.	.	.
CD72	ENST00000396757	.	0.0441784958102703	.	.	.
KIR3DL2	ENST00000326321	.	0.0403520462667568	.	.	.
DCT	ENST00000446125	.	0.03764505179	.	.	.
PLXNA2	ENST00000367033	.	0.0326196058118919	.	.	.
TRIP12	ENST00000283943	.	0.0311129270897297	.	.	.
NOTCH4	ENST00000375023	.	0.0294431955562162	.	.	.
