gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	1.332268e-15	2.512923e-11	.
SMAD4	ENST00000342988	.	.	3.441691e-15	3.210957e-11	.
CDKN2A	ENST00000498124	.	.	5.107026e-15	3.210957e-11	.
KRAS	ENST00000256078	.	.	2.511769e-12	1.184424e-08	.
RNF43	ENST00000584437	.	.	5.224683e-09	1.970959e-05	.
KDM6A	ENST00000377967	.	.	1.608695e-05	5.057201e-02	.
ARID1A	ENST00000324856	.	.	2.704271e-05	6.627043e-02	.
LCE4A	ENST00000368777	.	.	2.810749e-05	6.627043e-02	.
TGFBR2	ENST00000359013	.	.	4.465829e-05	9.359386e-02	.
PRSS1	ENST00000311737	.	.	1.537977e-03	1	.
HIST1H1B	ENST00000331442	.	.	1.930062e-03	1	.
STK11	ENST00000326873	.	.	1.972930e-03	1	.
PMEPA1	ENST00000341744	.	.	2.906483e-03	1	.
KLHDC8A	ENST00000367156	.	.	5.798886e-03	1	.
RREB1	ENST00000379938	.	.	6.157821e-03	1	.
P4HA1	ENST00000412021	.	.	6.193263e-03	1	.
FBXW7	ENST00000281708	.	.	7.231982e-03	1	.
GPX5	ENST00000412168	.	.	7.316411e-03	1	.
MAP2K4	ENST00000353533	.	.	8.083722e-03	1	.
SGCZ	ENST00000382080	.	.	8.990497e-03	1	.
UNC50	ENST00000357765	.	.	9.022655e-03	1	.
RYBP	ENST00000477973	.	.	9.546119e-03	1	.
GPR21	ENST00000373642	.	.	1.045480e-02	1	.
PRTFDC1	ENST00000320152	.	.	1.131888e-02	1	.
NTF3	ENST00000423158	.	.	1.233322e-02	1	.
MEFV	ENST00000219596	.	.	1.336167e-02	1	.
PRL	ENST00000306482	.	.	1.389396e-02	1	.
ACVR2A	ENST00000241416	.	.	1.597928e-02	1	.
PRAMEF11	ENST00000535591	.	.	1.633924e-02	1	.
SEC61B	ENST00000223641	.	.	1.724810e-02	1	.
TMEM198	ENST00000344458	.	.	1.873702e-02	1	.
PLD5	ENST00000536534	.	.	1.924045e-02	1	.
DEK	ENST00000397239	.	.	1.927311e-02	1	.
ELK1	ENST00000247161	.	.	1.953649e-02	1	.
FCER1G	ENST00000289902	.	.	2.013135e-02	1	.
WTAP	ENST00000358372	.	.	2.076645e-02	1	.
CPB1	ENST00000491148	.	.	2.166854e-02	1	.
RBM10	ENST00000377604	.	.	2.276813e-02	1	.
DSCR4	ENST00000328264	.	.	2.284946e-02	1	.
WNT3A	ENST00000284523	.	.	2.441904e-02	1	.
CCL26	ENST00000394905	.	.	2.454179e-02	1	.
OR2L2	ENST00000366479	.	.	2.602268e-02	1	.
ADAMTS12	ENST00000504830	.	.	2.645039e-02	1	.
ACSS3	ENST00000548058	.	.	2.664983e-02	1	.
APCDD1	ENST00000355285	.	.	2.671665e-02	1	.
EEF2	ENST00000309311	.	.	2.679563e-02	1	.
ENY2	ENST00000521688	.	.	2.778512e-02	1	.
RIMS4	ENST00000541604	.	.	2.943309e-02	1	.
HIST1H2AC	ENST00000602637	.	.	2.967189e-02	1	.
JAGN1	ENST00000307768	.	.	3.035624e-02	1	.
CT45A5	ENST00000463085	.	.	3.086865e-02	1	.
U2AF1	ENST00000291552	.	.	3.111901e-02	1	.
PES1	ENST00000354694	.	.	3.114142e-02	1	.
NFKBIZ	ENST00000326172	.	.	3.185212e-02	1	.
RASSF2	ENST00000379400	.	.	3.227607e-02	1	.
RPS6KA6	ENST00000262752	.	.	3.231488e-02	1	.
KIAA0895	ENST00000297063	.	.	3.287172e-02	1	.
CHML	ENST00000366553	.	.	3.345042e-02	1	.
ANKRD34B	ENST00000338682	.	.	3.374466e-02	1	.
CLEC1B	ENST00000298527	.	.	3.394516e-02	1	.
BLOC1S3	ENST00000433642	.	.	3.464089e-02	1	.
RNF38	ENST00000259605	.	.	3.494581e-02	1	.
RDX	ENST00000405097	.	.	3.510954e-02	1	.
KCNA5	ENST00000252321	.	.	3.544493e-02	1	.
ARHGAP36	ENST00000276211	.	.	3.584785e-02	1	.
TGFBR1	ENST00000374994	.	.	3.596465e-02	1	.
RAB3A	ENST00000222256	.	.	3.606616e-02	1	.
PCDH9	ENST00000544246	.	.	3.612170e-02	1	.
TMEM52	ENST00000310991	.	.	3.651046e-02	1	.
C16orf72	ENST00000327827	.	.	3.680958e-02	1	.
NLGN3	ENST00000358741	.	.	3.697155e-02	1	.
CXCR1	ENST00000295683	.	.	3.734917e-02	1	.
POM121L12	ENST00000408890	.	.	3.761467e-02	1	.
RPL15	ENST00000307839	.	.	3.807511e-02	1	.
VCX	ENST00000381059	.	.	3.819664e-02	1	.
GOLGA1	ENST00000373555	.	.	3.857540e-02	1	.
CTNND1	ENST00000399050	.	.	3.885443e-02	1	.
HRASLS5	ENST00000301790	.	.	3.899114e-02	1	.
RPS6KB2	ENST00000312629	.	.	3.942508e-02	1	.
KCNB2	ENST00000523207	.	.	4.025601e-02	1	.
MAP1LC3A	ENST00000374837	.	.	4.064883e-02	1	.
VPS25	ENST00000253794	.	.	4.080876e-02	1	.
MRPL35	ENST00000337109	.	.	4.175326e-02	1	.
TRAT1	ENST00000295756	.	.	4.220134e-02	1	.
CPXM2	ENST00000368854	.	.	4.327364e-02	1	.
PLSCR2	ENST00000497985	.	.	4.334502e-02	1	.
ARL5B	ENST00000377275	.	.	4.359265e-02	1	.
MMP3	ENST00000299855	.	.	4.382139e-02	1	.
MND1	ENST00000240488	.	.	4.438816e-02	1	.
KRTAP10-2	ENST00000391621	.	.	4.439914e-02	1	.
PPP1R1B	ENST00000254079	.	.	4.468877e-02	1	.
ARMC7	ENST00000245543	.	.	4.476646e-02	1	.
TMEM37	ENST00000306406	.	.	4.492258e-02	1	.
KLF4	ENST00000374672	.	.	4.518285e-02	1	.
ZNF184	ENST00000211936	.	.	4.632766e-02	1	.
ASB15	ENST00000451558	.	.	4.704943e-02	1	.
ATP12A	ENST00000218548	.	.	4.705117e-02	1	.
KHDRBS2	ENST00000281156	.	.	4.721052e-02	1	.
TDP2	ENST00000378198	.	.	4.785196e-02	1	.
APBA2	ENST00000558402	.	.	4.787475e-02	1	.
ZFP91	ENST00000316059	.	.	4.810591e-02	1	.
STX11	ENST00000367568	.	.	4.892587e-02	1	.
RARRES3	ENST00000255688	.	.	5.007784e-02	1	.
C1S	ENST00000406697	.	.	5.067281e-02	1	.
MGRN1	ENST00000262370	.	.	5.179600e-02	1	.
OSBPL1A	ENST00000319481	.	.	5.242133e-02	1	.
CAPZA1	ENST00000263168	.	.	5.245630e-02	1	.
RBM38	ENST00000356208	.	.	5.321537e-02	1	.
MYLPF	ENST00000322861	.	.	5.453365e-02	1	.
CD8B	ENST00000331469	.	.	5.458104e-02	1	.
KLRC3	ENST00000381903	.	.	5.462996e-02	1	.
ACTB	ENST00000331789	.	.	5.481154e-02	1	.
SQSTM1	ENST00000389805	.	.	5.489933e-02	1	.
CACNG3	ENST00000005284	.	.	5.612073e-02	1	.
DAAM1	ENST00000395125	.	.	5.614652e-02	1	.
MOS	ENST00000311923	.	.	5.625572e-02	1	.
ZNRF4	ENST00000222033	.	.	5.648191e-02	1	.
ASB9	ENST00000380488	.	.	5.725098e-02	1	.
TCF7L1	ENST00000282111	.	.	5.759435e-02	1	.
HECW2	ENST00000260983	.	.	5.769359e-02	1	.
RAP2B	ENST00000323534	.	.	5.878026e-02	1	.
OR2M5	ENST00000366476	.	.	5.900258e-02	1	.
DEFB119	ENST00000376315	.	.	5.961683e-02	1	.
OR5H1	ENST00000354565	.	.	5.976922e-02	1	.
CPE	ENST00000402744	.	.	5.995252e-02	1	.
CR2	ENST00000367057	.	.	5.996912e-02	1	.
TCF4	ENST00000398339	.	.	6.016597e-02	1	.
OR10X1	ENST00000368150	.	.	6.107377e-02	1	.
RAB12	ENST00000329286	.	.	6.155665e-02	1	.
TNFRSF9	ENST00000377507	.	.	6.158670e-02	1	.
GPRC5A	ENST00000014914	.	.	6.171317e-02	1	.
MT1B	ENST00000334346	.	.	6.197829e-02	1	.
KRTAP24-1	ENST00000340345	.	.	6.300014e-02	1	.
NLRP10	ENST00000328600	.	.	6.302242e-02	1	.
OR2Y1	ENST00000307832	.	.	6.357679e-02	1	.
MECR	ENST00000263702	.	.	6.358195e-02	1	.
PHOX2B	ENST00000226382	.	.	6.376269e-02	1	.
ANO6	ENST00000435642	.	.	6.465397e-02	1	.
