gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	.	1.77591504022448e-05	.
ADCY3	ENST00000260600	.	.	.	0.00037294215844714	.
RHOA	ENST00000418115	.	.	.	0.000526854795266594	.
TNF	ENST00000449264	.	.	.	0.00105962930733394	.
ITPKB	ENST00000429204	.	.	.	0.00159832353620203	.
CDKN2A	ENST00000498124	.	.	.	0.00400172855730582	.
CREBBP	ENST00000262367	.	.	.	0.00645841102961634	.
PLCB1	ENST00000338037	.	.	.	0.00666560111764253	.
STAT3	ENST00000264657	.	.	.	0.00904532727154333	.
ALDH5A1	ENST00000348925	.	.	.	0.0101641537468847	.
XPO1	ENST00000401558	.	.	.	0.0138225387297472	.
PIGQ	ENST00000026218	.	.	.	0.0184339981175301	.
TPO	ENST00000345913	.	.	.	0.0195824231768752	.
PFKM	ENST00000340802	.	.	.	0.0236670277693915	.
CDC42	ENST00000344548	.	.	.	0.0262717031617207	.
FYN	ENST00000354650	.	.	.	0.0273668507698592	.
MAOB	ENST00000378069	.	.	.	0.0273668507698592	.
HSPA1L	ENST00000375654	.	.	.	0.0353584684508693	.
MYC	ENST00000377970	.	.	.	0.0366252878462294	.
TNFAIP3	ENST00000237289	.	.	.	0.0384189620368562	.
ACAD8	ENST00000281182	.	.	.	0.0396265842642088	.
PLD1	ENST00000351298	.	.	.	0.0423378145589515	.
GRIN2A	ENST00000396573	.	.	.	0.0431132974598495	.
ACTB	ENST00000331789	.	.	.	0.0438473423431423	.
GPR50	ENST00000218316	.	.	.	0.0472748583707755	.
PIK3CG	ENST00000359195	.	.	.	0.0500926435679317	.
ATP6V1H	ENST00000359530	.	.	.	0.0521882233153966	.
HIST2H2BE	ENST00000369155	.	.	.	0.0532892906403358	.
COX4I1	ENST00000562336	.	.	.	0.0556512576438343	.
GNB1	ENST00000378609	.	.	.	0.0618255222670147	.
SOCS1	ENST00000332029	.	.	.	0.0661824338323655	.
KALRN	ENST00000459915	.	.	.	0.0724928519419631	.
GRIN3A	ENST00000361820	.	.	.	0.0741622120797741	.
ATP1B1	ENST00000367816	.	.	.	0.0776370858418133	.
NDUFS1	ENST00000455934	.	.	.	0.0776370858418133	.
BRCA1	ENST00000471181	.	.	.	0.0817276101511304	.
PRKCG	ENST00000263431	.	.	.	0.0817276101511304	.
KDR	ENST00000263923	.	.	.	0.0838587081993997	.
CHRM3	ENST00000255380	.	.	.	0.0883636126847692	.
B2M	ENST00000558401	.	.	.	0.0883636126847692	.
PIP5K1A	ENST00000368888	.	.	.	0.0906900613874632	.
NUP153	ENST00000262077	.	.	.	0.0906900613874632	.
MYH8	ENST00000403437	.	.	.	0.0906900613874632	.
ADCY6	ENST00000307885	.	.	.	0.0906900613874632	.
MAPK3	ENST00000263025	.	.	.	0.0931585832933752	.
CASP3	ENST00000308394	.	.	.	0.0931585832933752	.
MET	ENST00000318493	.	.	.	0.0956922220840955	.
CTNNA2	ENST00000466387	.	.	.	0.104068621357154	.
OR2AK2	ENST00000366480	.	.	.	0.104068621357154	.
EP300	ENST00000263253	.	.	.	0.110426397201158	.
ITPR3	ENST00000374316	.	.	.	0.110426397201158	.
SSR4	ENST00000320857	.	.	.	0.114055183600017	.
ADCY2	ENST00000338316	.	.	.	0.1218336914762	.
CBLB	ENST00000264122	.	.	.	0.1218336914762	.
KRAS	ENST00000256078	.	.	.	0.12602485097113	.
IKBKB	ENST00000520810	.	.	.	0.12602485097113	.
PRKCZ	ENST00000378567	.	.	.	0.12602485097113	.
CYP7A1	ENST00000301645	.	.	.	0.134833389570643	.
CCT4	ENST00000394440	.	.	.	0.134833389570643	.
POLR2J	ENST00000292614	.	.	.	0.139805951683271	.
ALOX15B	ENST00000380183	.	.	.	0.139805951683271	.
PRKX	ENST00000262848	.	.	.	0.145370485475975	.
HDAC2	ENST00000519065	.	.	.	0.145370485475975	.
ITPR1	ENST00000302640	.	.	.	0.145370485475975	.
HSP90AA1	ENST00000334701	.	.	.	0.151165888223907	.
OPRK1	ENST00000265572	.	.	.	0.151165888223907	.
PEX13	ENST00000295030	.	.	.	0.151165888223907	.
RPL22	ENST00000234875	.	.	.	0.151165888223907	.
PRKACA	ENST00000308677	.	.	.	0.156908013520633	.
REL	ENST00000295025	.	.	.	0.156908013520633	.
DGKI	ENST00000288490	.	.	.	0.156908013520633	.
POLD1	ENST00000440232	.	.	.	0.163940637079922	.
CNGB1	ENST00000251102	.	.	.	0.163940637079922	.
FBP2	ENST00000375337	.	.	.	0.171464597133673	.
UBQLN2	ENST00000338222	.	.	.	0.171464597133673	.
GTF2H4	ENST00000259895	.	.	.	0.171464597133673	.
CHRM4	ENST00000433765	.	.	.	0.171464597133673	.
OR52R1	ENST00000356069	.	.	.	0.171464597133673	.
GABRA1	ENST00000428797	.	.	.	0.17911287124024	.
TPR	ENST00000367478	.	.	.	0.17911287124024	.
ACTA2	ENST00000458208	.	.	.	0.17911287124024	.
L1CAM	ENST00000370060	.	.	.	0.17911287124024	.
SMARCA2	ENST00000382203	.	.	.	0.17911287124024	.
FAS	ENST00000355740	.	.	.	0.18734127759328	.
IFNB1	ENST00000380232	.	.	.	0.18734127759328	.
PTGER3	ENST00000460330	.	.	.	0.196700349855263	.
AGTR2	ENST00000371906	.	.	.	0.196700349855263	.
CD79A	ENST00000221972	.	.	.	0.196700349855263	.
OR10G7	ENST00000330487	.	.	.	0.196700349855263	.
MYH1	ENST00000226207	.	.	.	0.206811226150941	.
ATP6AP1	ENST00000369762	.	.	.	0.206811226150941	.
GNGT1	ENST00000248572	.	.	.	0.217946213453148	.
THRA	ENST00000264637	.	.	.	0.217946213453148	.
CALML6	ENST00000307786	.	.	.	0.217946213453148	.
DDX23	ENST00000308025	.	.	.	0.217946213453148	.
CAMK2B	ENST00000395749	.	.	.	0.230768320043569	.
RNGTT	ENST00000369485	.	.	.	0.230768320043569	.
SMURF1	ENST00000361125	.	.	.	0.230768320043569	.
UBE2J1	ENST00000435041	.	.	.	0.230768320043569	.
RBM5	ENST00000347869	.	.	.	0.230768320043569	.
VARS	ENST00000375663	.	.	.	0.244999319232568	.
NOTCH3	ENST00000263388	.	.	.	0.244999319232568	.
ERBB4	ENST00000342788	.	.	.	0.244999319232568	.
COL4A1	ENST00000375820	.	.	.	0.244999319232568	.
CGA	ENST00000369582	.	.	.	0.244999319232568	.
AKT3	ENST00000366539	.	.	.	0.244999319232568	.
SSR1	ENST00000244763	.	.	.	0.244999319232568	.
ITGB5	ENST00000296181	.	.	.	0.244999319232568	.
ARAP3	ENST00000239440	.	.	.	0.244999319232568	.
NFKBIA	ENST00000216797	.	.	.	0.261592285425065	.
CALML3	ENST00000315238	.	.	.	0.261592285425065	.
ITGAL	ENST00000356798	.	.	.	0.261592285425065	.
PLK1	ENST00000300093	.	.	.	0.261592285425065	.
ARHGAP4	ENST00000370028	.	.	.	0.261592285425065	.
WNT4	ENST00000290167	.	.	.	0.261592285425065	.
ABCD1	ENST00000218104	.	.	.	0.261592285425065	.
CACNA1E	ENST00000367573	.	.	.	0.261592285425065	.
HCRTR2	ENST00000370862	.	.	.	0.261592285425065	.
CNTNAP2	ENST00000361727	.	.	.	0.261592285425065	.
MAP2K3	ENST00000342679	.	.	.	0.280511700320257	.
APOB	ENST00000233242	.	.	.	0.280511700320257	.
UGT2B7	ENST00000305231	.	.	.	0.280511700320257	.
ADRA2B	ENST00000409345	.	.	.	0.280511700320257	.
TNFRSF14	ENST00000355716	.	.	.	0.280511700320257	.
MYO9B	ENST00000595618	.	.	.	0.302237060979003	.
WNT1	ENST00000293549	.	.	.	0.302237060979003	.
GRB2	ENST00000392562	.	.	.	0.302237060979003	.
F9	ENST00000218099	.	.	.	0.302237060979003	.
CACNA2D3	ENST00000474759	.	.	.	0.302237060979003	.
UBE2D3	ENST00000357194	.	.	.	0.302237060979003	.
GPX1	ENST00000419783	.	.	.	0.302237060979003	.
C1QA	ENST00000374642	.	.	.	0.302237060979003	.
ACSL1	ENST00000515030	.	.	.	0.302237060979003	.
NOTCH2	ENST00000256646	.	.	.	0.302237060979003	.
SMC1A	ENST00000322213	.	.	.	0.302237060979003	.
UBE2J2	ENST00000400930	.	.	.	0.302237060979003	.
CFI	ENST00000394634	.	.	.	0.302237060979003	.
AVPR2	ENST00000358927	.	.	.	0.326780206834905	.
NOTCH4	ENST00000375023	.	.	.	0.326780206834905	.
CACNA2D1	ENST00000356860	.	.	.	0.326780206834905	.
BMP2	ENST00000378827	.	.	.	0.326780206834905	.
PTK2	ENST00000340930	.	.	.	0.326780206834905	.
CTSH	ENST00000220166	.	.	.	0.326780206834905	.
LSM2	ENST00000375661	.	.	.	0.326780206834905	.
SETD2	ENST00000409792	.	.	.	0.326780206834905	.
HSPA8	ENST00000534624	.	.	.	0.326780206834905	.
SIN3A	ENST00000394947	.	.	.	0.326780206834905	.
EXOSC7	ENST00000265564	.	.	.	0.326780206834905	.
EPHA5	ENST00000273854	.	.	.	0.326780206834905	.
YBX1	ENST00000321358	.	.	.	0.326780206834905	.
CD164	ENST00000310786	.	.	.	0.326780206834905	.
PARN	ENST00000437198	.	.	.	0.326780206834905	.
KIF13A	ENST00000259711	.	.	.	0.326780206834905	.
DDX46	ENST00000354283	.	.	.	0.326780206834905	.
PHKA1	ENST00000373542	.	.	.	0.326780206834905	.
