gene	transcript	protein_change	score	pvalue	qvalue	info
MDN1	ENST00000369393	.	.	2.19160542289356e-09	1.01537079242658e-05	.
EP400	ENST00000389561	.	.	6.55721573649151e-09	1.51897902535826e-05	.
EP300	ENST00000263253	.	.	4.30666145495242e-08	6.65092084026485e-05	.
EHBP1L1	ENST00000309295	.	.	1.22630580489365e-06	0.000811639256296038	.
SPECC1L	ENST00000314328	.	.	9.66847714874924e-07	0.000811639256296038	.
STAM	ENST00000377524	.	.	1.0905134714452e-06	0.000811639256296038	.
XPO1	ENST00000401558	.	.	1.04154953537873e-06	0.000811639256296038	.
PAK7	ENST00000378429	.	.	1.79599813960993e-06	0.0010401074226016	.
DAG1	ENST00000545947	.	.	2.84508899068608e-06	0.00109844144115405	.
FASTKD3	ENST00000264669	.	.	2.65260948637145e-06	0.00109844144115405	.
MAP1B	ENST00000296755	.	.	2.28929343062022e-06	0.00109844144115405	.
SRSF6	ENST00000244020	.	.	2.37929254813793e-06	0.00109844144115405	.
ANK2	ENST00000506722	.	.	3.92423465508197e-06	0.00130217409692649	.
MAP1A	ENST00000300231	.	.	4.35740726787766e-06	0.00130217409692649	.
PPP1R10	ENST00000376511	.	.	4.03553366646599e-06	0.00130217409692649	.
SMC6	ENST00000448223	.	.	4.4970398339788e-06	0.00130217409692649	.
LMAN2	ENST00000303127	.	.	6.32530723859303e-06	0.00162806380202231	.
ZNF574	ENST00000600245	.	.	6.2847337103486e-06	0.00162806380202231	.
ESPL1	ENST00000257934	.	.	8.81574699446584e-06	0.00204216779126801	.
LAMP1	ENST00000332556	.	.	8.65051866546265e-06	0.00204216779126801	.
ASAP2	ENST00000281419	.	.	1.24066355494287e-05	0.00273714011907158	.
RBM15B	ENST00000323686	.	.	1.37300700438877e-05	0.00289142793242416	.
AFF3	ENST00000356421	.	.	1.61171991600436e-05	0.00311129098785341	.
UBR5	ENST00000520539	.	.	1.56975620492521e-05	0.00311129098785341	.
ASGR1	ENST00000269299	.	.	1.88821713204529e-05	0.00349924398910633	.
KCND3	ENST00000315987	.	.	2.07451626644239e-05	0.00355971624534356	.
TRIM28	ENST00000253024	.	.	2.00574388957751e-05	0.00355971624534356	.
KIAA0907	ENST00000368321	.	.	2.58710016650442e-05	0.00413311554186724	.
ZNF609	ENST00000326648	.	.	2.58334898212049e-05	0.00413311554186724	.
SMC3	ENST00000361804	.	.	2.92238055701701e-05	0.00451312970688659	.
BRPF3	ENST00000357641	.	.	3.74092356153231e-05	0.00559087060018684	.
CHGA	ENST00000216492	.	.	4.08426287667053e-05	0.00575551155291463	.
SEC24A	ENST00000398844	.	.	4.09954416676415e-05	0.00575551155291463	.
ACTN2	ENST00000366578	.	.	4.45572249176133e-05	0.00607157714833242	.
RBM15	ENST00000369784	.	.	4.83989089816202e-05	0.00640663272319561	.
MICAL3	ENST00000441493	.	.	6.42283049078033e-05	0.00826582601771813	.
BRD1	ENST00000216267	.	.	6.71286133406933e-05	0.00840559096236303	.
JAG1	ENST00000254958	.	.	7.42029911854655e-05	0.0086848150509152	.
SENP3	ENST00000429205	.	.	7.47007866469739e-05	0.0086848150509152	.
SHROOM1	ENST00000378679	.	.	7.49822149873965e-05	0.0086848150509152	.
PRDM14	ENST00000276594	.	.	7.71026731475565e-05	0.00871260206567389	.
PWWP2B	ENST00000305233	.	.	9.40159283087007e-05	0.0103708522822431	.
BRAF	ENST00000288602	.	.	0.00010523623137275	0.0113385920918594	.
SCAF1	ENST00000360565	.	.	0.000112699893338789	0.011866786496332	.
ANXA4	ENST00000394295	.	.	0.000133648349065949	0.0132765693785153	.
SNAPC4	ENST00000298532	.	.	0.000134685681154807	0.0132765693785153	.
SNX16	ENST00000396330	.	.	0.000129143343822974	0.0132765693785153	.
RAPH1	ENST00000319170	.	.	0.000143540388483103	0.0138546379133795	.
MYBBP1A	ENST00000381556	.	.	0.000148360631375616	0.0140276490849639	.
FAT1	ENST00000441802	.	.	0.000156142393332664	0.0142060456219273	.
MLLT4	ENST00000507704	.	.	0.000160770806315514	0.0142060456219273	.
TSC22D3	ENST00000372383	.	.	0.000162512501178965	0.0142060456219273	.
UBA5	ENST00000356232	.	.	0.000157686306281436	0.0142060456219273	.
