gene	transcript	protein_change	score	pvalue	qvalue	info
IDH1	ENST00000415913	.	.	6.65703371941141e-18	3.27526058995041e-15	.
OTOF	ENST00000272371	.	.	4.05720549036476e-07	9.98072550629731e-05	.
EPRS	ENST00000366923	.	.	1.79287668615408e-06	0.00029403177652927	.
AR	ENST00000374690	.	.	3.11052614256507e-06	0.000359775240837112	.
C3	ENST00000245907	.	.	3.65625244753163e-06	0.000359775240837112	.
CHAMP1	ENST00000361283	.	.	6.18577947904967e-06	0.000507233917282073	.
JMJD4	ENST00000366758	.	.	8.66341676287908e-06	0.000608914435333787	.
BRAF	ENST00000288602	.	.	1.29738341460114e-05	0.000797890799979703	.
PKHD1L1	ENST00000378402	.	.	1.85348716313336e-05	0.00082901425841965	.
PTPRG	ENST00000474889	.	.	1.76014911255766e-05	0.00082901425841965	.
TUBB2A	ENST00000333628	.	.	1.56738159005149e-05	0.00082901425841965	.
DIDO1	ENST00000266070	.	.	6.28898654150514e-05	0.00250915853538304	.
GATAD2A	ENST00000360315	.	.	7.31605076972511e-05	0.00250915853538304	.
PSPC1	ENST00000338910	.	.	7.64987358348488e-05	0.00250915853538304	.
RYR1	ENST00000359596	.	.	6.86769667126958e-05	0.00250915853538304	.
KDR	ENST00000263923	.	.	0.000139775283908811	0.00404526115783147	.
NIPBL	ENST00000282516	.	.	0.000134942956206796	0.00404526115783147	.
WIZ	ENST00000263381	.	.	0.000173929031806857	0.00475406020272075	.
BLK	ENST00000259089	.	.	0.000283848423926893	0.00698267122860156	.
GMPR	ENST00000259727	.	.	0.000282447767011228	0.00698267122860156	.
DDB2	ENST00000256996	.	.	0.000306150214955257	0.00707718665602884	.
NR1I3	ENST00000367980	.	.	0.000316459565919989	0.00707718665602884	.
SPATS2	ENST00000553127	.	.	0.000365186701897282	0.0078118198840636	.
RB1CC1	ENST00000025008	.	.	0.000393530453240488	0.00806737429143001	.
NRAS	ENST00000369535	.	.	0.000781141361355441	0.0153728619914751	.
MAP1A	ENST00000300231	.	.	0.000896841959022243	0.0165800846036679	.
NOS3	ENST00000297494	.	.	0.0009098826916647	0.0165800846036679	.
LTBP2	ENST00000261978	.	.	0.00106647333796251	0.0187394600813412	.
MYPN	ENST00000358913	.	.	0.00111832157796338	0.0189729040123442	.
ARAF	ENST00000377045	.	.	0.00117186184590015	0.0192185342727624	.
DLG5	ENST00000372391	.	.	0.00156669949054468	0.0246840572527078	.
ZMYM4	ENST00000314607	.	.	0.0016054671383875	0.0246840572527078	.
EEF2K	ENST00000263026	.	.	0.00233006644926574	0.0347391725163256	.
SLC12A6	ENST00000354181	.	.	0.00326720712262101	0.0472784089508687	.
ATAD5	ENST00000321990	.	.	0.0037206686893337	0.0523019712900623	.
FEN1	ENST00000305885	.	.	0.00402272057345269	0.0540618650545608	.
HDGF	ENST00000368206	.	.	0.00406562806304624	0.0540618650545608	.
ALDH3A1	ENST00000457500	.	.	0.00591030050568755	0.0745607140717506	.
FLT3	ENST00000241453	.	.	0.00576044137320111	0.0745607140717506	.
PLK3	ENST00000372201	.	.	0.00642472239361061	0.0790240854414105	.
PTGER4	ENST00000302472	.	.	0.00699141840137255	0.0838970208164705	.
EAPP	ENST00000250454	.	.	0.00791449326977099	0.0927126354458888	.
MAGEA1	ENST00000356661	.	.	0.00918931358771543	0.105142843840837	.
EPHA2	ENST00000358432	.	.	0.0115567605052586	0.129225594740618	.
INF2	ENST00000392634	.	.	0.0133729567610094	0.14621099392037	.
DOCK7	ENST00000340370	.	.	0.0147813052862876	0.158095700018554	.
SH3BP1	ENST00000357436	.	.	0.0212019525737952	0.221943843963984	.
ARFGAP2	ENST00000524782	.	.	0.0221394596230218	0.226929461135974	.
CKS1B	ENST00000308987	.	.	0.0399401219218014	0.395837456591509	.
GREM1	ENST00000300177	.	.	0.0402273837999501	0.395837456591509	.
PLCG1	ENST00000373272	.	.	0.0445178616188336	0.42946642973463	.
ABCA13	ENST00000435803	.	.	1	1	.
ABCC1	ENST00000399410	.	.	1	1	.
ABCG2	ENST00000237612	.	.	1	1	.
ACHE	ENST00000302913	.	.	1	1	.
ACO2	ENST00000216254	.	.	1	1	.
ACSL3	ENST00000357430	.	.	1	1	.
ACSM5	ENST00000331849	.	.	1	1	.
ACTC1	ENST00000290378	.	.	1	1	.
ADAM32	ENST00000379907	.	.	1	1	.
ADAMTS12	ENST00000504830	.	.	1	1	.
ADAMTS16	ENST00000274181	.	.	1	1	.
AHNAK	ENST00000378024	.	.	1	1	.
AIM1	ENST00000369066	.	.	1	1	.
AK3	ENST00000381809	.	.	1	1	.
AKAP11	ENST00000025301	.	.	1	1	.
AKAP13	ENST00000361243	.	.	1	1	.
ALB	ENST00000295897	.	.	1	1	.
ALMS1	ENST00000264448	.	.	1	1	.
ALPK3	ENST00000258888	.	.	1	1	.
AMFR	ENST00000290649	.	.	1	1	.
ANGEL1	ENST00000251089	.	.	1	1	.
ANKRD34A	ENST00000323397	.	.	1	1	.
ANKS1A	ENST00000360359	.	.	1	1	.
ANO1	ENST00000355303	.	.	1	1	.
APOA4	ENST00000357780	.	.	1	1	.
APOB	ENST00000233242	.	.	1	1	.
APPL1	ENST00000288266	.	.	1	1	.
ARHGAP28	ENST00000584387	.	.	1	1	.
ARID5A	ENST00000357485	.	.	1	1	.
ARMC9	ENST00000483477	.	.	1	1	.
ATM	ENST00000278616	.	.	1	1	.
ATP11A	ENST00000487903	.	.	1	1	.
ATP13A3	ENST00000439040	.	.	1	1	.
ATP2B1	ENST00000428670	.	.	1	1	.
ATP5O	ENST00000290299	.	.	1	1	.
ATR	ENST00000350721	.	.	1	1	.
ATXN1L	ENST00000427980	.	.	1	1	.
BAD	ENST00000394532	.	.	1	1	.
BAP1	ENST00000460680	.	.	1	1	.
BBS7	ENST00000264499	.	.	1	1	.
BCOR	ENST00000378444	.	.	1	1	.
BIN3	ENST00000276416	.	.	1	1	.
BIRC2	ENST00000227758	.	.	1	1	.
BIRC6	ENST00000421745	.	.	1	1	.
BLM	ENST00000355112	.	.	1	1	.
BMP15	ENST00000252677	.	.	1	1	.
BNC2	ENST00000380672	.	.	1	1	.
BRCA2	ENST00000544455	.	.	1	1	.
BRDT	ENST00000362005	.	.	1	1	.
BRWD3	ENST00000373275	.	.	1	1	.
C2CD4C	ENST00000332235	.	.	1	1	.
CACNA1E	ENST00000367573	.	.	1	1	.
CAD	ENST00000264705	.	.	1	1	.
CADM4	ENST00000222374	.	.	1	1	.
CAMK2D	ENST00000342666	.	.	1	1	.
CAMTA1	ENST00000303635	.	.	1	1	.
CAPN13	ENST00000295055	.	.	1	1	.
CAPRIN1	ENST00000341394	.	.	1	1	.
CCDC83	ENST00000280245	.	.	1	1	.
CCDC88C	ENST00000389857	.	.	1	1	.
CCNA2	ENST00000274026	.	.	1	1	.
CCNB3	ENST00000376042	.	.	1	1	.
CDC37L1	ENST00000381854	.	.	1	1	.
CDC42BPG	ENST00000342711	.	.	1	1	.
CDH12	ENST00000382254	.	.	1	1	.
CDH20	ENST00000262717	.	.	1	1	.
CDH5	ENST00000341529	.	.	1	1	.
CDH7	ENST00000397968	.	.	1	1	.
CDKN2A	ENST00000498124	.	.	1	1	.
CENPI	ENST00000372927	.	.	1	1	.
CEP350	ENST00000367607	.	.	1	1	.
CEP68	ENST00000377990	.	.	1	1	.
CEP95	ENST00000556440	.	.	1	1	.
CGGBP1	ENST00000398392	.	.	1	1	.
CHD7	ENST00000423902	.	.	1	1	.
CHRM2	ENST00000445907	.	.	1	1	.
CLCC1	ENST00000369971	.	.	1	1	.
CMA1	ENST00000250378	.	.	1	1	.
CNTN2	ENST00000331830	.	.	1	1	.
COL6A3	ENST00000295550	.	.	1	1	.
COL6A6	ENST00000358511	.	.	1	1	.
COL7A1	ENST00000328333	.	.	1	1	.
CR2	ENST00000367057	.	.	1	1	.
CSDC2	ENST00000306149	.	.	1	1	.
CSE1L	ENST00000262982	.	.	1	1	.
CSF1	ENST00000329608	.	.	1	1	.
CSMD3	ENST00000297405	.	.	1	1	.
CTCFL	ENST00000423479	.	.	1	1	.
CTSD	ENST00000236671	.	.	1	1	.
CYP2A13	ENST00000330436	.	.	1	1	.
CYP2D6	ENST00000360608	.	.	1	1	.
CYSLTR1	ENST00000373304	.	.	1	1	.
DAPK1	ENST00000408954	.	.	1	1	.
DCAF4L2	ENST00000319675	.	.	1	1	.
DCHS1	ENST00000299441	.	.	1	1	.
DDX59	ENST00000331314	.	.	1	1	.
DGKA	ENST00000331886	.	.	1	1	.
DGKI	ENST00000288490	.	.	1	1	.
DHX9	ENST00000367549	.	.	1	1	.
DNAH2	ENST00000572933	.	.	1	1	.
DNAH5	ENST00000265104	.	.	1	1	.
DNAH8	ENST00000359357	.	.	1	1	.
DOCK2	ENST00000256935	.	.	1	1	.
DOCK9	ENST00000448493	.	.	1	1	.
DPH2	ENST00000255108	.	.	1	1	.
DPYSL4	ENST00000338492	.	.	1	1	.
DRD1	ENST00000393752	.	.	1	1	.
DSCAML1	ENST00000321322	.	.	1	1	.
DZIP3	ENST00000361582	.	.	1	1	.
EFCAB5	ENST00000394835	.	.	1	1	.
EHMT2	ENST00000375537	.	.	1	1	.
ELF3	ENST00000359651	.	.	1	1	.
ELK1	ENST00000247161	.	.	1	1	.
ELL2	ENST00000237853	.	.	1	1	.
EMILIN2	ENST00000254528	.	.	1	1	.
EML5	ENST00000554922	.	.	1	1	.
EML6	ENST00000356458	.	.	1	1	.
ENGASE	ENST00000579016	.	.	1	1	.
EP400	ENST00000389561	.	.	1	1	.
EPC1	ENST00000263062	.	.	1	1	.
EPHA7	ENST00000369303	.	.	1	1	.
EPHA8	ENST00000166244	.	.	1	1	.
ERBB2	ENST00000269571	.	.	1	1	.
ERBB4	ENST00000342788	.	.	1	1	.
ERLEC1	ENST00000185150	.	.	1	1	.
ESX1	ENST00000372588	.	.	1	1	.
ETV5	ENST00000306376	.	.	1	1	.
EXOC3	ENST00000512944	.	.	1	1	.
EYS	ENST00000503581	.	.	1	1	.
F13A1	ENST00000264870	.	.	1	1	.
FAM169A	ENST00000389156	.	.	1	1	.
FAM47C	ENST00000358047	.	.	1	1	.
FAM50B	ENST00000380274	.	.	1	1	.
FAM83H	ENST00000388913	.	.	1	1	.
FAT1	ENST00000441802	.	.	1	1	.
FBP1	ENST00000415431	.	.	1	1	.
FEZ1	ENST00000278919	.	.	1	1	.
FHOD3	ENST00000257209	.	.	1	1	.
FLNA	ENST00000369850	.	.	1	1	.
FMN2	ENST00000319653	.	.	1	1	.
FMNL1	ENST00000331495	.	.	1	1	.
FOXK1	ENST00000446823	.	.	1	1	.
FPR1	ENST00000595042	.	.	1	1	.
FREM2	ENST00000280481	.	.	1	1	.
FRY	ENST00000380250	.	.	1	1	.
FSIP2	ENST00000343098	.	.	1	1	.
GAL3ST2	ENST00000192314	.	.	1	1	.
GALNT5	ENST00000259056	.	.	1	1	.
GBF1	ENST00000369983	.	.	1	1	.
GCN1L1	ENST00000300648	.	.	1	1	.
GDI1	ENST00000447750	.	.	1	1	.
GLRA2	ENST00000218075	.	.	1	1	.
GNA15	ENST00000262958	.	.	1	1	.
GNL3	ENST00000418458	.	.	1	1	.
GON4L	ENST00000437809	.	.	1	1	.
GRB14	ENST00000263915	.	.	1	1	.
GRIK2	ENST00000421544	.	.	1	1	.
GRM3	ENST00000361669	.	.	1	1	.
GRM5	ENST00000418177	.	.	1	1	.
GSDMA	ENST00000301659	.	.	1	1	.
GSTK1	ENST00000479303	.	.	1	1	.
GTPBP4	ENST00000360803	.	.	1	1	.
HADHB	ENST00000317799	.	.	1	1	.
HAS2	ENST00000303924	.	.	1	1	.
HDAC4	ENST00000345617	.	.	1	1	.
HEATR6	ENST00000184956	.	.	1	1	.
HEG1	ENST00000311127	.	.	1	1	.
HIST1H3G	ENST00000305910	.	.	1	1	.
HMGCL	ENST00000374490	.	.	1	1	.
HNRNPK	ENST00000376263	.	.	1	1	.
HNRNPUL1	ENST00000392006	.	.	1	1	.
HNRNPUL2	ENST00000301785	.	.	1	1	.
HSF1	ENST00000528838	.	.	1	1	.
HSP90AB1	ENST00000371554	.	.	1	1	.
IFIT5	ENST00000371795	.	.	1	1	.
IFT172	ENST00000260570	.	.	1	1	.
IL10RA	ENST00000227752	.	.	1	1	.
INADL	ENST00000371158	.	.	1	1	.
IRS1	ENST00000305123	.	.	1	1	.
ITK	ENST00000422843	.	.	1	1	.
ITPR2	ENST00000381340	.	.	1	1	.
IZUMO2	ENST00000293405	.	.	1	1	.
KATNAL2	ENST00000245121	.	.	1	1	.
KCNB2	ENST00000523207	.	.	1	1	.
KEAP1	ENST00000171111	.	.	1	1	.
KIAA0100	ENST00000528896	.	.	1	1	.
KIAA0226	ENST00000296343	.	.	1	1	.
KIAA0368	ENST00000259335	.	.	1	1	.
KIF4B	ENST00000435029	.	.	1	1	.
KLHL20	ENST00000209884	.	.	1	1	.
KLHL25	ENST00000337975	.	.	1	1	.
KMO	ENST00000366559	.	.	1	1	.
KPNA3	ENST00000261667	.	.	1	1	.
KRAS	ENST00000256078	.	.	1	1	.
KRT3	ENST00000417996	.	.	1	1	.
KTI12	ENST00000371614	.	.	1	1	.
KYNU	ENST00000264170	.	.	1	1	.
LAMA1	ENST00000389658	.	.	1	1	.
LAMA3	ENST00000313654	.	.	1	1	.
LAMA4	ENST00000230538	.	.	1	1	.
LAMA5	ENST00000252999	.	.	1	1	.
LEO1	ENST00000299601	.	.	1	1	.
