gene	transcript	protein_change	score	pvalue	qvalue	info
SPEN	ENST00000375759	.	.	6.43459556768121e-15	4.83688548822597e-11	.
ERBB2IP	ENST00000506030	.	.	7.87444195047578e-10	1.97307267139088e-06	.
PLEC	ENST00000322810	.	.	7.09876421428654e-10	1.97307267139088e-06	.
ITGB4	ENST00000200181	.	.	1.1543120111589e-09	2.16924084697036e-06	.
MYH1	ENST00000226207	.	.	1.59580277848988e-09	2.39912989718169e-06	.
ERBB2	ENST00000269571	.	.	5.63962651427524e-09	7.0655120846345e-06	.
UTRN	ENST00000367545	.	.	7.77542081187539e-09	7.30597978035841e-06	.
WHSC1	ENST00000382895	.	.	7.75117242045183e-09	7.30597978035841e-06	.
ZNHIT6	ENST00000370574	.	.	2.26441681575542e-08	1.89129124489261e-05	.
ANAPC1	ENST00000341068	.	.	2.58722107279456e-08	1.94481408041967e-05	.
HECTD1	ENST00000399332	.	.	3.21101298528627e-08	2.19428951003608e-05	.
MYH7	ENST00000355349	.	.	5.90921269695301e-08	3.70162932024965e-05	.
MON2	ENST00000393632	.	.	6.96454119207476e-08	4.02711201083277e-05	.
AHNAK2	ENST00000333244	.	.	1.57429872175763e-07	8.45285963675151e-05	.
EGFR	ENST00000275493	.	.	1.7821736192654e-07	8.931066064012e-05	.
RANBP2	ENST00000283195	.	.	2.06169917443138e-07	9.5483379047648e-05	.
ZNF184	ENST00000211936	.	.	2.159395295743e-07	9.5483379047648e-05	.
ATP13A3	ENST00000439040	.	.	2.57663068160201e-07	0.000107602960186679	.
LRBA	ENST00000357115	.	.	2.83344957156095e-07	0.00011210021278644	.
PI4KA	ENST00000255882	.	.	4.44532393456381e-07	0.000167077500080581	.
ABCF1	ENST00000326195	.	.	6.2210033159055e-07	0.000222682294884103	.
KRT1	ENST00000252244	.	.	6.59227168415727e-07	0.000225245937499137	.
SRRM1	ENST00000323848	.	.	7.64334577515288e-07	0.000249804479094888	.
AHCTF1	ENST00000326225	.	.	8.48032975998001e-07	0.000265610995024041	.
DHX9	ENST00000367549	.	.	9.5051681982739e-07	0.0002858013973857	.
RUFY3	ENST00000381006	.	.	9.94001735054432e-07	0.000287381193938622	.
PRMT3	ENST00000331079	.	.	1.12801882088618e-06	0.000314048795429682	.
MAP1B	ENST00000296755	.	.	1.17757710059086e-06	0.000316137395183626	.
HBS1L	ENST00000367837	.	.	1.38720657177498e-06	0.000359573510345949	.
MACF1	ENST00000545844	.	.	1.61072608317621e-06	0.000390575095717278	.
MYBBP1A	ENST00000381556	.	.	1.56398007513267e-06	0.000390575095717278	.
SLC2A3	ENST00000075120	.	.	1.78530706986692e-06	0.000419379788880925	.
ASPM	ENST00000367409	.	.	2.04016642621431e-06	0.000464725182601606	.
ZNF592	ENST00000560079	.	.	2.25406229085258e-06	0.000498346654127612	.
NAV1	ENST00000367296	.	.	2.43581661586707e-06	0.000523143814327793	.
BTNL8	ENST00000340184	.	.	2.90794813179566e-06	0.000594498961221673	.
NCAPD3	ENST00000534548	.	.	2.92622875684474e-06	0.000594498961221673	.
GRIN2B	ENST00000609686	.	.	3.19594884090377e-06	0.000632209143080886	.
MYO9B	ENST00000595618	.	.	3.29712606438792e-06	0.000635499913487282	.
KIAA1211	ENST00000504228	.	.	4.57413060786942e-06	0.000843543355311092	.
STAT5B	ENST00000293328	.	.	4.60094154153982e-06	0.000843543355311092	.
ERAP1	ENST00000296754	.	.	5.36562468590398e-06	0.000916668199180459	.
LRRK2	ENST00000298910	.	.	5.28944240206564e-06	0.000916668199180459	.
UBR5	ENST00000520539	.	.	5.13561485510459e-06	0.000916668199180459	.
TTN	ENST00000589042	.	.	6.43217548039795e-06	0.00107445917969225	.
PARP1	ENST00000366794	.	.	6.80904901239066e-06	0.0011126874223074	.
EIF4G2	ENST00000526148	.	.	6.97016270058038e-06	0.0011147811280907	.
DNAH7	ENST00000312428	.	.	7.72865337495104e-06	0.00119502646915639	.
IRS1	ENST00000305123	.	.	7.78984927346858e-06	0.00119502646915639	.
FKBP15	ENST00000238256	.	.	8.00880470405437e-06	0.00120404369920753	.
FRK	ENST00000606080	.	.	8.29366576283067e-06	0.00122242128508232	.
WAPAL	ENST00000298767	.	.	9.17866185119961e-06	0.00132684617568207	.
ACIN1	ENST00000262710	.	.	1.09278852887924e-05	0.0014912461825183	.
FAF2	ENST00000261942	.	.	1.11094567275542e-05	0.0014912461825183	.
GFPT2	ENST00000253778	.	.	1.07850020505338e-05	0.0014912461825183	.
MIS18BP1	ENST00000310806	.	.	1.05864326912676e-05	0.0014912461825183	.
EPC2	ENST00000258484	.	.	1.21746014307474e-05	0.00160555226236716	.
WTAP	ENST00000358372	.	.	1.24108301114678e-05	0.00160848637841213	.
DHX38	ENST00000268482	.	.	1.40047257904084e-05	0.00164489880885157	.
FLT3	ENST00000241453	.	.	1.3964336958616e-05	0.00164489880885157	.
INPP1	ENST00000392329	.	.	1.2948344255062e-05	0.00164489880885157	.
PDCD6IP	ENST00000457054	.	.	1.34555952206922e-05	0.00164489880885157	.
TJP1	ENST00000346128	.	.	1.31894652887035e-05	0.00164489880885157	.
ZFC3H1	ENST00000378743	.	.	1.36870965961419e-05	0.00164489880885157	.
NUFIP2	ENST00000225388	.	.	1.47796702170654e-05	0.00170921201571816	.
GMIP	ENST00000203556	.	.	1.5318419733258e-05	0.00174467516871061	.
MYOM1	ENST00000356443	.	.	1.58567143762879e-05	0.00176745031268288	.
OSBPL10	ENST00000396556	.	.	1.59886419133213e-05	0.00176745031268288	.
COPB1	ENST00000249923	.	.	1.75283710591834e-05	0.00189890962450458	.
TLN2	ENST00000561311	.	.	1.7683074859029e-05	0.00189890962450458	.
