gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	.	3.0914959130424e-06	.
KRAS	ENST00000256078	.	.	.	5.71926743912845e-05	.
SDHA	ENST00000264932	.	.	.	0.00159984913499944	.
EGFR	ENST00000275493	.	.	.	0.00211149170860796	.
CYP11B2	ENST00000323110	.	.	.	0.00221814831760792	.
PIP5K1A	ENST00000368888	.	.	.	0.00287045395525987	.
PLCB1	ENST00000338037	.	.	.	0.00407613736134641	.
SI	ENST00000264382	.	.	.	0.00529264100312859	.
SHC1	ENST00000448116	.	.	.	0.00594340089282402	.
CDKN2A	ENST00000498124	.	.	.	0.00719700248556271	.
ADCY2	ENST00000338316	.	.	.	0.00803634362595373	.
PIK3CA	ENST00000263967	.	.	.	0.00868555776769263	.
CPS1	ENST00000430249	.	.	.	0.00928067073095329	.
NFKBIA	ENST00000216797	.	.	.	0.00938269009608369	.
MET	ENST00000318493	.	.	.	0.0135407520991257	.
ADCY8	ENST00000286355	.	.	.	0.01377879728443	.
ATP6V1H	ENST00000359530	.	.	.	0.014179146005169	.
RPS27	ENST00000368567	.	.	.	0.015241074851299	.
PRIM2	ENST00000607273	.	.	.	0.0162272620475596	.
GRIN2A	ENST00000396573	.	.	.	0.0164931306960812	.
BRAF	ENST00000288602	.	.	.	0.01746231466482	.
IKBKB	ENST00000520810	.	.	.	0.0179847774741242	.
RYR2	ENST00000366574	.	.	.	0.018589164925124	.
PIK3C2B	ENST00000367187	.	.	.	0.0189725104183412	.
POLR3A	ENST00000372371	.	.	.	0.0204749774320798	.
GRIN2B	ENST00000609686	.	.	.	0.0212648546378622	.
GNAS	ENST00000371100	.	.	.	0.0221041957782532	.
RBM8A	ENST00000330165	.	.	.	0.0228167855862095	.
IFNA1	ENST00000276927	.	.	.	0.0229852721134703	.
PLD1	ENST00000351298	.	.	.	0.0230331903001224	.
PTK2	ENST00000340930	.	.	.	0.0246948693533827	.
ATP5B	ENST00000262030	.	.	.	0.024968466741687	.
OR2G2	ENST00000320065	.	.	.	0.0257088800128606	.
RAC1	ENST00000356142	.	.	.	0.0260056636205127	.
UGT2B11	ENST00000446444	.	.	.	0.0263843718698604	.
KEAP1	ENST00000171111	.	.	.	0.0265868648521647	.
ATM	ENST00000278616	.	.	.	0.0270567722309471	.
NFATC2	ENST00000609943	.	.	.	0.0293522079463811	.
HMGCS1	ENST00000325110	.	.	.	0.0306691852053372	.
APC	ENST00000457016	.	.	.	0.0310231614873805	.
PLCB4	ENST00000378501	.	.	.	0.0317419342871629	.
STT3A	ENST00000392708	.	.	.	0.0318516823920759	.
SSTR1	ENST00000267377	.	.	.	0.0323973314207279	.
NUP155	ENST00000231498	.	.	.	0.032697206524293	.
PCK1	ENST00000319441	.	.	.	0.0334669890066405	.
HGF	ENST00000222390	.	.	.	0.0355104678051616	.
DGKI	ENST00000288490	.	.	.	0.0356109414223354	.
CREBBP	ENST00000262367	.	.	.	0.0372138820532479	.
NUP107	ENST00000229179	.	.	.	0.0372138820532479	.
PRKCB	ENST00000303531	.	.	.	0.0378306354878999	.
MGAM	ENST00000549489	.	.	.	0.0378306354878999	.
CTNNB1	ENST00000349496	.	.	.	0.0386189669457257	.
CHRM3	ENST00000255380	.	.	.	0.0388972015778995	.
OR4A15	ENST00000314706	.	.	.	0.0391754362100733	.
CTSS	ENST00000368985	.	.	.	0.0404012143395946	.
NOTCH2	ENST00000256646	.	.	.	0.0420968998478984	.
DGKB	ENST00000403951	.	.	.	0.0420968998478984	.
IFNG	ENST00000229135	.	.	.	0.0422622948792462	.
KDR	ENST00000263923	.	.	.	0.043089270035985	.
MYH2	ENST00000245503	.	.	.	0.043089270035985	.
REV3L	ENST00000358835	.	.	.	0.043415422854811	.
GRM5	ENST00000418177	.	.	.	0.0435746348943327	.
PKLR	ENST00000342741	.	.	.	0.0453321503208973	.
CAMK2B	ENST00000395749	.	.	.	0.0462441416152448	.
PIAS3	ENST00000393045	.	.	.	0.0464280856220708	.
PRKCA	ENST00000413366	.	.	.	0.0479661048388094	.
C7	ENST00000313164	.	.	.	0.048593678509157	.
PLG	ENST00000308192	.	.	.	0.0500760507994608	.
SEC23A	ENST00000307712	.	.	.	0.050304821497026	.
OR6Y1	ENST00000302617	.	.	.	0.0505181347150259	.
U2AF1	ENST00000291552	.	.	.	0.0507623628921563	.
NOS1	ENST00000338101	.	.	.	0.0509818591019823	.
HNRNPC	ENST00000320084	.	.	.	0.0512090840515909	.
POLR2J	ENST00000292614	.	.	.	0.0518845759085906	.
RPL8	ENST00000262584	.	.	.	0.0518845759085906	.
GHR	ENST00000230882	.	.	.	0.0524039472219818	.
CTNNA2	ENST00000466387	.	.	.	0.0548477747412418	.
SOS1	ENST00000426016	.	.	.	0.0558988833516762	.
MYC	ENST00000377970	.	.	.	0.0566717573299368	.
OR4Q3	ENST00000331723	.	.	.	0.0595453027811097	.
TTN	ENST00000589042	.	.	.	0.0600986805495443	.
OBSCN	ENST00000570156	.	.	.	0.0600986805495443	.
ITPR2	ENST00000381340	.	.	.	0.0604155588806312	.
POLE	ENST00000320574	.	.	.	0.0616877094488481	.
PIK3CG	ENST00000359195	.	.	.	0.0623322863467174	.
SEC61G	ENST00000415949	.	.	.	0.0629799547404998	.
TPR	ENST00000367478	.	.	.	0.0636616295893257	.
POLA1	ENST00000379059	.	.	.	0.0655134356412381	.
ACTB	ENST00000331789	.	.	.	0.0678475150555851	.
CYP11A1	ENST00000268053	.	.	.	0.0678475150555851	.
GRM1	ENST00000361719	.	.	.	0.0678475150555851	.
TAF4	ENST00000252996	.	.	.	0.0678475150555851	.
GALNS	ENST00000268695	.	.	.	0.0694380897028454	.
OR5F1	ENST00000278409	.	.	.	0.0702418786402364	.
HSP90AB1	ENST00000371554	.	.	.	0.0710982230081492	.
EGF	ENST00000265171	.	.	.	0.0715233036961925	.
HSD11B1	ENST00000367028	.	.	.	0.0732669073911484	.
