gene	transcript	protein_change	score	pvalue	qvalue	info
KIT	ENST00000288135	.	0.155038759689922	.	.	.
KRAS	ENST00000256078	.	0.0930232558139535	.	.	.
NRAS	ENST00000369535	.	0.0387596899224806	.	.	.
PTPRO	ENST00000281171	.	0.0155038759689922	.	.	.
ARHGAP4	ENST00000370028	.	0.00775193798449612	.	.	.
FAM118B	ENST00000533050	.	0.00775193798449612	.	.	.
PLCE1	ENST00000371380	.	0.00775193798449612	.	.	.
RASSF2	ENST00000379400	.	0.00775193798449612	.	.	.
SHOC2	ENST00000369452	.	0.00775193798449612	.	.	.
SOCS4	ENST00000395472	.	0.00775193798449612	.	.	.
