gene	transcript	protein_change	score	pvalue	qvalue	info
BCOR	ENST00000378444	.	.	0.000429566371702009	0.0805963188696604	.
IDH1	ENST00000415913	.	.	0.00112080847985621	0.0805963188696604	.
MACF1	ENST00000545844	.	.	0.000757419241275148	0.0805963188696604	.
MUC16	ENST00000397910	.	.	0.00110627701235164	0.0805963188696604	.
NBPF10	ENST00000342960	.	.	0.000989894688838178	0.0805963188696604	.
NCKAP5L	ENST00000335999	.	.	0.000729492903997264	0.0805963188696604	.
PKP4	ENST00000389759	.	.	0.000430033962459711	0.0805963188696604	.
TCF20	ENST00000359486	.	.	0.00097019580142648	0.0805963188696604	.
TNKS1BP1	ENST00000532437	.	.	0.00091864639436573	0.0805963188696604	.
UBR4	ENST00000375254	.	.	0.000752445423428732	0.0805963188696604	.
ZC3H4	ENST00000253048	.	.	0.000725596422253004	0.0805963188696604	.
NCAPD2	ENST00000315579	.	.	0.00122908036319806	0.0810168806074723	.
SFPQ	ENST00000357214	.	.	0.00136838213819168	0.08326079010074	.
SSTR3	ENST00000328544	.	.	0.0014985575595112	0.0846685021123827	.
CBLB	ENST00000264122	.	.	0.00162678758327092	0.085785931891153	.
APOB	ENST00000233242	.	.	0.00180031714631875	0.0889376534198906	.
GRIN2B	ENST00000609686	.	.	0.00199784671872821	0.0889376534198906	.
PIK3C2B	ENST00000367187	.	.	0.00202386569097096	0.0889376534198906	.
ESCO2	ENST00000305188	.	.	0.00243309023007025	0.0916463986659795	.
FBRS	ENST00000356166	.	.	0.00233006640085057	0.0916463986659795	.
STARD9	ENST00000290607	.	.	0.00223731739784551	0.0916463986659795	.
ARID4A	ENST00000355431	.	.	0.00256001140172639	0.0918623700691556	.
DNAH10	ENST00000409039	.	.	0.00267109293500705	0.0918623700691556	.
BSCL2	ENST00000433053	.	.	0.00368745803088458	0.104750307366296	.
DLG5	ENST00000372391	.	.	0.00370797548199276	0.104750307366296	.
MAGEB18	ENST00000325250	.	.	0.00318113037707698	0.104750307366296	.
QSOX2	ENST00000358701	.	.	0.00331850875038579	0.104750307366296	.
ZHX3	ENST00000309060	.	.	0.00365481363104759	0.104750307366296	.
NIPBL	ENST00000282516	.	.	0.00406659293620192	0.107222500417857	.
TAF1L	ENST00000242310	.	.	0.00403863611834919	0.107222500417857	.
CLIP1	ENST00000540338	.	.	0.00456273755406544	0.10901083065232	.
KIF18A	ENST00000263181	.	.	0.00462143996432318	0.10901083065232	.
LSM14B	ENST00000279068	.	.	0.00456660126535264	0.10901083065232	.
MIIP	ENST00000235332	.	.	0.00509911597235884	0.10901083065232	.
MMP13	ENST00000260302	.	.	0.00500313953358522	0.10901083065232	.
PRKCH	ENST00000332981	.	.	0.00496837062584701	0.10901083065232	.
UTP20	ENST00000261637	.	.	0.00485406487159296	0.10901083065232	.
NPLOC4	ENST00000331134	.	.	0.00524842511932783	0.109250112352324	.
HIST1H2BB	ENST00000357905	.	.	0.00565435987601127	0.109963670430151	.
LIN37	ENST00000301159	.	.	0.00597779750758093	0.109963670430151	.
NRAS	ENST00000369535	.	.	0.00587200290516004	0.109963670430151	.
TANK	ENST00000392749	.	.	0.00590289108121817	0.109963670430151	.
TXK	ENST00000264316	.	.	0.00572329087255746	0.109963670430151	.
LRSAM1	ENST00000323301	.	.	0.00705339843161153	0.123983070208994	.
