gene	transcript	protein_change	score	pvalue	qvalue	info
PBRM1	ENST00000394830	.	0.025	0.686876812272	0.953193146417	TYPE=oncogene
BAP1	ENST00000460680	.	0.029	0.617322981947	0.9290259009	TYPE=oncogene
SETD2	ENST00000409792	.	0.029	0.617322981947	0.9290259009	TYPE=oncogene
VHL	ENST00000256474	.	0.044	0.398129267608	0.843022136669	TYPE=oncogene
CDK12	ENST00000447079	.	0.017	0.811308577308	0.975412684622	TYPE=oncogene
ATM	ENST00000278616	.	0.047	0.366027499766	0.83277293041	TYPE=oncogene
NOTCH3	ENST00000263388	.	0.089	0.101870732392	0.755232558142	TYPE=oncogene
KDM5C	ENST00000375401	.	0.054	0.302263586194	0.817687246964	TYPE=oncogene
KIF1A	ENST00000498729	.	0.037	0.503554391544	0.895757071547	TYPE=oncogene
MTOR	ENST00000361445	.	0.709	0.0	0.0	TYPE=oncogene
PTEN	ENST00000371953	.	0.089	0.105761855767	0.755232558142	TYPE=oncogene
HIF1A	ENST00000539097	.	0.059	0.262491815546	0.811258629846	TYPE=oncogene
KMT2C	ENST00000262189	.	0.03	0.599971939014	0.924117562311	TYPE=oncogene
TP53	ENST00000269305	.	0.075	0.161771583575	0.786024712397	TYPE=oncogene
ARID1A	ENST00000324856	.	0.056	0.285773080161	0.811258629846	TYPE=oncogene
NF1	ENST00000358273	.	0.027	0.651744457955	0.939436429823	TYPE=oncogene
TP53BP1	ENST00000382044	.	0.045	0.386512019456	0.838684798052	TYPE=oncogene
ANK2	ENST00000357077	.	0.029	0.617322981947	0.9290259009	TYPE=oncogene
SLK	ENST00000369755	.	0.109	0.0501543354223	0.721960414703	TYPE=oncogene
PTPN13	ENST00000436978	.	0.042	0.421896922645	0.850256692336	TYPE=oncogene
ARHGAP35	ENST00000404338	.	0.047	0.366027499766	0.83277293041	TYPE=oncogene
SUZ12	ENST00000322652	.	0.093	0.0915442895894	0.750481125092	TYPE=oncogene
AGO4	ENST00000373210	.	0.046	0.376017210738	0.835585117439	TYPE=oncogene
ATXN2L	ENST00000395547	.	0.041	0.433757366009	0.850256692336	TYPE=oncogene
NF2	ENST00000338641	.	0.035	0.5347675615	0.90290587492	TYPE=oncogene
ACTN4	ENST00000252699	.	0.09	0.0981760359181	0.752401433692	TYPE=oncogene
WRAP73	ENST00000270708	.	0.041	0.433757366009	0.850256692336	TYPE=oncogene
NRIP1	ENST00000400202	.	0.089	0.101870732392	0.755232558142	TYPE=oncogene
TCEB1	ENST00000518127	.	0.072	0.18323823777	0.786746987951	TYPE=oncogene
MAP3K1	ENST00000399503	.	0.093	0.0915442895894	0.750481125092	TYPE=oncogene
PRKDC	ENST00000314191	.	0.064	0.22678888785	0.807602717567	TYPE=oncogene
MAP3K11	ENST00000309100	.	0.158	0.00560284351324	0.608771929825	TYPE=oncogene
PLD3	ENST00000409587	.	0.029	0.617322981947	0.9290259009	TYPE=oncogene
EEA1	ENST00000322349	.	0.033	0.550481713591	0.907649599013	TYPE=oncogene
MYH2	ENST00000245503	.	0.041	0.433757366009	0.850256692336	TYPE=oncogene
ZC3HC1	ENST00000358303	.	0.028	0.634449536994	0.932998624485	TYPE=oncogene
STAG2	ENST00000218089	.	0.057	0.278046955383	0.811258629846	TYPE=oncogene
SART3	ENST00000228284	.	0.064	0.22678888785	0.807602717567	TYPE=oncogene
MECOM	ENST00000494292	.	0.093	0.0915442895894	0.750481125092	TYPE=oncogene
GOT1	ENST00000370508	.	0.066	0.213918248994	0.804998240055	TYPE=oncogene
SLC4A2	ENST00000485713	.	0.073	0.172556355813	0.786024712397	TYPE=oncogene
UBR1	ENST00000290650	.	0.085	0.120896080816	0.767888888892	TYPE=oncogene
LATS2	ENST00000382592	.	0.069	0.194425217473	0.794268246085	TYPE=oncogene
CUL1	ENST00000325222	.	0.113	0.0443644186699	0.721917808219	TYPE=oncogene
WNK3	ENST00000354646	.	0.042	0.433757366009	0.850256692336	TYPE=oncogene
SCAF4	ENST00000286835	.	0.044	0.409643625479	0.843022136669	TYPE=oncogene
CHD3	ENST00000380358	.	0.053	0.310672528295	0.818489208633	TYPE=oncogene
SDAD1	ENST00000356260	.	0.068	0.207090075765	0.800433839481	TYPE=oncogene
SLC6A3	ENST00000270349	.	0.044	0.409643625479	0.843022136669	TYPE=oncogene
DDX18	ENST00000263239	.	0.123	0.0302778037602	0.721917808219	TYPE=oncogene
AGL	ENST00000294724	.	0.067	0.207090075765	0.800433839481	TYPE=oncogene
ATG7	ENST00000354449	.	0.043	0.409643625479	0.843022136669	TYPE=oncogene
KPRP	ENST00000368773	.	0.066	0.22039098307	0.807602717567	TYPE=oncogene
GCN1L1	ENST00000300648	.	0.092	0.0915442895894	0.750481125092	TYPE=oncogene
COL5A3	ENST00000264828	.	0.035	0.518987933776	0.900438169425	TYPE=oncogene
SMARCC2	ENST00000267064	.	0.134	0.0183986530727	0.671331058021	TYPE=oncogene
NIPBL	ENST00000282516	.	0.053	0.310672528295	0.818489208633	TYPE=oncogene
ZMYM4	ENST00000314607	.	0.043	0.409643625479	0.843022136669	TYPE=oncogene
NOTCH2	ENST00000256646	.	0.11	0.0501543354223	0.721960414703	TYPE=oncogene
G3BP1	ENST00000394123	.	0.044	0.409643625479	0.843022136669	TYPE=oncogene
JAK1	ENST00000342505	.	0.046	0.376017210738	0.835585117439	TYPE=oncogene
PCK1	ENST00000319441	.	0.194	0.00109437844916	0.508823529413	TYPE=oncogene
MGA	ENST00000219905	.	0.147	0.0097745767468	0.649068322982	TYPE=oncogene
PRKCD	ENST00000394729	.	0.045	0.386512019456	0.838684798052	TYPE=oncogene
PROS1	ENST00000394236	.	0.066	0.22039098307	0.807602717567	TYPE=oncogene
MAX	ENST00000358664	.	0.132	0.0191656533533	0.676237623763	TYPE=oncogene
CDC42BPB	ENST00000361246	.	0.041	0.433757366009	0.850256692336	TYPE=oncogene
SMC5	ENST00000361138	.	0.043	0.409643625479	0.843022136669	TYPE=oncogene
NPEPPS	ENST00000322157	.	0.115	0.0410906369844	0.721917808219	TYPE=oncogene
PDS5B	ENST00000315596	.	0.048	0.355794593583	0.828173307206	TYPE=oncogene
CUX1	ENST00000360264	.	0.093	0.0915442895894	0.750481125092	TYPE=oncogene
ATR	ENST00000350721	.	0.164	0.00398465999439	0.6	TYPE=oncogene
NLRP1	ENST00000572272	.	0.078	0.146852492751	0.779615384618	TYPE=oncogene
DNMT3A	ENST00000264709	.	0.143	0.0126929192779	0.653696498053	TYPE=oncogene
SIRT1	ENST00000212015	.	0.227	0.000505097745767	0.447619047619	TYPE=oncogene
STAG1	ENST00000383202	.	0.078	0.146852492751	0.779615384618	TYPE=oncogene
SMARCA2	ENST00000382203	.	0.095	0.0827424936863	0.744612794613	TYPE=oncogene
RALGAPA1	ENST00000307138	.	0.034	0.550481713591	0.907649599013	TYPE=oncogene
CSPP1	ENST00000262210	.	0.08	0.137564306426	0.76919456067	TYPE=oncogene
SEC23A	ENST00000307712	.	0.096	0.0799457487606	0.74	TYPE=oncogene
HSP90AB1	ENST00000371554	.	0.142	0.0126929192779	0.653696498053	TYPE=oncogene
DENND4A	ENST00000443035	.	0.038	0.473791039192	0.870326460481	TYPE=oncogene
LUC7L2	ENST00000541515	.	0.052	0.319249836311	0.818489208633	TYPE=oncogene
COL11A1	ENST00000370096	.	0.1	0.069001964269	0.721960414703	TYPE=oncogene
PSMC5	ENST00000310144	.	0.113	0.0443644186699	0.721917808219	TYPE=oncogene
MED13	ENST00000397786	.	0.036	0.518987933776	0.900438169425	TYPE=oncogene
SRGAP1	ENST00000355086	.	0.114	0.0410906369844	0.721917808219	TYPE=oncogene
ARHGAP5	ENST00000345122	.	0.095	0.0827424936863	0.744612794613	TYPE=oncogene
EP400	ENST00000389561	.	0.03	0.599971939014	0.924117562311	TYPE=oncogene
HIVEP1	ENST00000379388	.	0.044	0.409643625479	0.843022136669	TYPE=oncogene
PPP1R16B	ENST00000299824	.	0.054	0.302263586194	0.817687246964	TYPE=oncogene
SAMHD1	ENST00000262878	.	0.077	0.151678982322	0.779615384618	TYPE=oncogene
LAMB1	ENST00000222399	.	0.037	0.503554391544	0.895757071547	TYPE=oncogene
RPL5	ENST00000370321	.	0.069	0.194425217473	0.794268246085	TYPE=oncogene
EP300	ENST00000263253	.	0.056	0.285773080161	0.811258629846	TYPE=oncogene
SPTBN1	ENST00000356805	.	0.069	0.200832475914	0.800433839481	TYPE=oncogene
POLR2A	ENST00000322644	.	0.05	0.336787952483	0.822242521123	TYPE=oncogene
CLSPN	ENST00000318121	.	0.06	0.255672995978	0.811258629846	TYPE=oncogene
AASS	ENST00000393376	.	0.064	0.22678888785	0.807602717567	TYPE=oncogene
EXOSC10	ENST00000376936	.	0.11	0.0501543354223	0.721960414703	TYPE=oncogene
PTPN4	ENST00000263708	.	0.05	0.336787952483	0.822242521123	TYPE=oncogene
KIF13B	ENST00000524189	.	0.156	0.00627630717426	0.608771929825	TYPE=oncogene
CDH2	ENST00000269141	.	0.094	0.0858104948087	0.750481125092	TYPE=oncogene
ETF1	ENST00000360541	.	0.054	0.302263586194	0.817687246964	TYPE=oncogene
PRRC2C	ENST00000338920	.	0.082	0.129286315593	0.767888888892	TYPE=oncogene
KMT2A	ENST00000534358	.	0.068	0.200832475914	0.800433839481	TYPE=oncogene
CEP290	ENST00000552810	.	0.122	0.0302778037602	0.721917808219	TYPE=oncogene
NOC3L	ENST00000371361	.	0.129	0.0221962398279	0.708358208955	TYPE=oncogene
PARN	ENST00000437198	.	0.044	0.409643625479	0.843022136669	TYPE=oncogene
RABGAP1	ENST00000373647	.	0.059	0.270302123281	0.811258629846	TYPE=oncogene
CACYBP	ENST00000367679	.	0.054	0.302263586194	0.817687246964	TYPE=oncogene
CLTC	ENST00000269122	.	0.171	0.00278739126368	0.58275862069	TYPE=oncogene
VLDLR	ENST00000382100	.	0.04	0.446796370779	0.861132143501	TYPE=oncogene
TUBGCP6	ENST00000248846	.	0.035	0.5347675615	0.90290587492	TYPE=oncogene
ATF7IP	ENST00000261168	.	0.059	0.270302123281	0.811258629846	TYPE=oncogene
CACNA1A	ENST00000360228	.	0.115	0.0410906369844	0.721917808219	TYPE=oncogene
THRA	ENST00000264637	.	0.11	0.0482648957067	0.721960414703	TYPE=oncogene
RNF139	ENST00000303545	.	0.05	0.336787952483	0.822242521123	TYPE=oncogene
SLC44A1	ENST00000374720	.	0.043	0.409643625479	0.843022136669	TYPE=oncogene
MCPH1	ENST00000344683	.	0.041	0.433757366009	0.850256692336	TYPE=oncogene
LYST	ENST00000389794	.	0.092	0.0915442895894	0.750481125092	TYPE=oncogene
TNIK	ENST00000436636	.	0.138	0.0150593957534	0.653696498053	TYPE=oncogene
ROCK1	ENST00000399799	.	0.061	0.248236834721	0.811258629846	TYPE=oncogene
NOS2	ENST00000313735	.	0.117	0.0370592086802	0.721917808219	TYPE=oncogene
IGF2R	ENST00000356956	.	0.027	0.651744457955	0.939436429823	TYPE=oncogene
MID1	ENST00000317552	.	0.063	0.233495463474	0.807602717567	TYPE=oncogene
HNRNPUL2	ENST00000301785	.	0.115	0.0410906369844	0.721917808219	TYPE=oncogene
P4HA1	ENST00000412021	.	0.092	0.0915442895894	0.750481125092	TYPE=oncogene
TBCD	ENST00000355528	.	0.053	0.319249836311	0.818489208633	TYPE=oncogene
EGF	ENST00000265171	.	0.1	0.069001964269	0.721960414703	TYPE=oncogene
LARP1	ENST00000336314	.	0.104	0.0594612290712	0.721960414703	TYPE=oncogene
COL3A1	ENST00000304636	.	0.183	0.00161818351885	0.508823529413	TYPE=oncogene
FNIP1	ENST00000510461	.	0.111	0.0482648957067	0.721960414703	TYPE=oncogene
GABPB1	ENST00000220429	.	0.102	0.0640538770929	0.721960414703	TYPE=oncogene
PRPF8	ENST00000572621	.	0.108	0.0519128238705	0.721960414703	TYPE=oncogene
MED12L	ENST00000474524	.	0.101	0.0663361706108	0.721960414703	TYPE=oncogene
RAD21	ENST00000297338	.	0.28	0.000168365915256	0.447619047619	TYPE=oncogene
PTPN12	ENST00000248594	.	0.124	0.0277523150313	0.721917808219	TYPE=oncogene
TBC1D9B	ENST00000356834	.	0.156	0.00627630717426	0.608771929825	TYPE=oncogene
APC	ENST00000457016	.	0.121	0.0315966700963	0.721917808219	TYPE=oncogene
PKN3	ENST00000291906	.	0.077	0.151678982322	0.779615384618	TYPE=oncogene
PI4KA	ENST00000255882	.	0.081	0.13342998784	0.76919456067	TYPE=oncogene
NBR1	ENST00000422280	.	0.1	0.069001964269	0.721960414703	TYPE=oncogene
YLPM1	ENST00000325680	.	0.078	0.146852492751	0.779615384618	TYPE=oncogene
NUP133	ENST00000261396	.	0.104	0.0594612290712	0.721960414703	TYPE=oncogene
RIC8B	ENST00000392839	.	0.064	0.22678888785	0.807602717567	TYPE=oncogene
ABCC6	ENST00000205557	.	0.038	0.473791039192	0.870326460481	TYPE=oncogene
CCNB2	ENST00000288207	.	0.022	0.735702927696	0.971152248725	TYPE=oncogene
ASXL2	ENST00000435504	.	0.042	0.433757366009	0.850256692336	TYPE=oncogene
SPG7	ENST00000268704	.	0.093	0.0915442895894	0.750481125092	TYPE=oncogene
PTPRK	ENST00000368213	.	0.151	0.0079412590029	0.633582089552	TYPE=oncogene
ANKRD11	ENST00000301030	.	0.117	0.0370592086802	0.721917808219	TYPE=oncogene
