gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	448.842709612249	.	.	.
TTN	ENST00000589042	.	351.220372491904	.	.	.
RB1	ENST00000267163	.	236.693659217226	.	.	.
CDKN2A	ENST00000498124	.	218.651362112337	.	.	.
PIK3CA	ENST00000263967	.	189.090277184886	.	.	.
USF1	ENST00000368021	.	177.543208737501	.	.	.
PPARG	ENST00000287820	.	150.089063729645	.	.	.
ARID1A	ENST00000324856	.	142.631208180358	.	.	.
CREBBP	ENST00000262367	.	141.544973208613	.	.	.
RYR2	ENST00000366574	.	141.27835378207	.	.	.
ERBB2	ENST00000269571	.	138.849776260151	.	.	.
EP300	ENST00000263253	.	126.124877113677	.	.	.
FGFR3	ENST00000340107	.	120.217407813241	.	.	.
YWHAZ	ENST00000395957	.	114.489682157949	.	.	.
FCER1G	ENST00000289902	.	107.794440984169	.	.	.
CDKN2B	ENST00000276925	.	103.401495933596	.	.	.
RXRG	ENST00000359842	.	102.329586321485	.	.	.
ERBB3	ENST00000267101	.	100.2095575905	.	.	.
POU2F1	ENST00000367866	.	97.2502455157195	.	.	.
FGFR1	ENST00000425967	.	96.3780525853354	.	.	.
CCND1	ENST00000227507	.	95.2320151866127	.	.	.
DMD	ENST00000357033	.	94.6385692655431	.	.	.
CTTN	ENST00000376561	.	91.7481054911656	.	.	.
NOTCH2	ENST00000256646	.	81.5931279818915	.	.	.
LAMA1	ENST00000389658	.	80.0738968184381	.	.	.
FADD	ENST00000301838	.	79.8462256345629	.	.	.
RYR1	ENST00000359596	.	78.9789457783618	.	.	.
KRAS	ENST00000256078	.	75.9886401481476	.	.	.
FAT1	ENST00000441802	.	66.4958047971111	.	.	.
RXRA	ENST00000481739	.	63.249706788622	.	.	.
FGF4	ENST00000168712	.	62.9490414337016	.	.	.
SHC1	ENST00000448116	.	61.5048951908978	.	.	.
RYR3	ENST00000389232	.	59.3711099764655	.	.	.
EGFR	ENST00000275493	.	59.3609861832311	.	.	.
ACTB	ENST00000331789	.	59.013109941497	.	.	.
F11R	ENST00000368026	.	58.7560696758299	.	.	.
MET	ENST00000318493	.	57.5240591160557	.	.	.
RHOB	ENST00000272233	.	57.3233685831549	.	.	.
LRP2	ENST00000263816	.	56.2538482679652	.	.	.
ERBB4	ENST00000342788	.	56.191164320398	.	.	.
SDC2	ENST00000302190	.	55.5076235412885	.	.	.
LAMA2	ENST00000421865	.	55.4705672946777	.	.	.
NCOR1	ENST00000268712	.	55.2818066526124	.	.	.
RAF1	ENST00000251849	.	54.4124504570445	.	.	.
GLI3	ENST00000395925	.	53.4465026733632	.	.	.
RAC1	ENST00000356142	.	53.0890248130744	.	.	.
LAMA3	ENST00000313654	.	51.5064531571718	.	.	.
PLAT	ENST00000220809	.	51.4458502868241	.	.	.
E2F3	ENST00000346618	.	51.197983573762	.	.	.
PRKCB	ENST00000303531	.	49.7826472166624	.	.	.
