gene	transcript	protein_change	score	pvalue	qvalue	info
BRAF	ENST00000288602	.	.	.	4.89121268342048e-05	.
NRAS	ENST00000369535	.	.	.	0.000126496879743633	.
PLCB4	ENST00000378501	.	.	.	0.000315398886827458	.
MGAM	ENST00000549489	.	.	.	0.00128014842300557	.
CDKN2A	ENST00000498124	.	.	.	0.00201383032551864	.
CCND1	ENST00000227507	.	.	.	0.00424692190925957	.
EP300	ENST00000263253	.	.	.	0.00490301905886321	.
SI	ENST00000264382	.	.	.	0.00531624219935908	.
GRIN2A	ENST00000396573	.	.	.	0.0061663012312363	.
INPPL1	ENST00000298229	.	.	.	0.0067583066284365	.
ADCY8	ENST00000286355	.	.	.	0.00801315567549334	.
TP53	ENST00000269305	.	.	.	0.0102327542587283	.
SDHA	ENST00000264932	.	.	.	0.0117642098161579	.
RAC1	ENST00000356142	.	.	.	0.0121217743295665	.
CTNNB1	ENST00000349496	.	.	.	0.0125012649687974	.
SPHK2	ENST00000245222	.	.	.	0.0140900657783775	.
POLR2B	ENST00000381227	.	.	.	0.0141963231573621	.
PLCB1	ENST00000338037	.	.	.	0.0144341372912801	.
KDR	ENST00000263923	.	.	.	0.0150649350649351	.
PDE1C	ENST00000396193	.	.	.	0.0156063417102378	.
PLCG2	ENST00000359376	.	.	.	0.015926800472255	.
PRIM2	ENST00000607273	.	.	.	0.0165221791195817	.
HSPA6	ENST00000309758	.	.	.	0.017060212514758	.
APOB	ENST00000233242	.	.	.	0.0177399224152471	.
GRIN2B	ENST00000609686	.	.	.	0.0188615280823073	.
PTEN	ENST00000371953	.	.	.	0.0191178950919211	.
GPAA1	ENST00000355091	.	.	.	0.0196289424860853	.
PTK2	ENST00000340930	.	.	.	0.0223207960870299	.
PIK3C2G	ENST00000433979	.	.	.	0.0244273907910272	.
PRKG1	ENST00000401604	.	.	.	0.0245083487940631	.
MYH2	ENST00000245503	.	.	.	0.0249957834373419	.
HSPA1L	ENST00000375654	.	.	.	0.0254208129532805	.
PRKCB	ENST00000303531	.	.	.	0.0255641760836566	.
PI4KA	ENST00000255882	.	.	.	0.0267296340023613	.
MDM2	ENST00000462284	.	.	.	0.0288969472086355	.
ARRB2	ENST00000412477	.	.	.	0.0311502782931354	.
NUP98	ENST00000324932	.	.	.	0.0315500084331253	.
TTN	ENST00000589042	.	.	.	0.0318974531961545	.
TNF	ENST00000449264	.	.	.	0.0336060043852252	.
MET	ENST00000318493	.	.	.	0.0340411536515433	.
RAF1	ENST00000251849	.	.	.	0.0352588969472086	.
NOS1	ENST00000338101	.	.	.	0.0358256029684601	.
PRLR	ENST00000382002	.	.	.	0.0363433968628774	.
FASN	ENST00000306749	.	.	.	0.0367465002529938	.
RB1	ENST00000267163	.	.	.	0.0375341541575308	.
ECHS1	ENST00000368547	.	.	.	0.0381008601787823	.
GRM3	ENST00000361669	.	.	.	0.0395732838589981	.
OR14A16	ENST00000357627	.	.	.	0.0420779220779221	.
PIK3CA	ENST00000263967	.	.	.	0.0427981109799292	.
PLG	ENST00000308192	.	.	.	0.0440360937763535	.
NUP210	ENST00000254508	.	.	.	0.0449620509360769	.
OR2A5	ENST00000408906	.	.	.	0.0459352335975713	.
RELA	ENST00000406246	.	.	.	0.0461426884803508	.
MAP2K1	ENST00000307102	.	.	.	0.0465356721200877	.
ACAT1	ENST00000265838	.	.	.	0.0488143025805363	.
CBL	ENST00000264033	.	.	.	0.0513965255523697	.
KALRN	ENST00000459915	.	.	.	0.0528858154832181	.
MYC	ENST00000377970	.	.	.	0.0531506156181481	.
HMGCS2	ENST00000369406	.	.	.	0.0539517625231911	.
REV3L	ENST00000358835	.	.	.	0.0539517625231911	.
PRKCA	ENST00000413366	.	.	.	0.0544914825434306	.
C6	ENST00000263413	.	.	.	0.056191600607185	.
UGT2B15	ENST00000338206	.	.	.	0.056456400742115	.
NOTCH4	ENST00000375023	.	.	.	0.05701973351324	.
CPSF1	ENST00000349769	.	.	.	0.0581919379321977	.
IFNG	ENST00000229135	.	.	.	0.0588362287063586	.
